Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 13:00:51"
frequency(Hz),Tr 1  Data(e'),(e'')
1000000000.0000,3.351416e+001,3.565187e+000
1045000000.0000,3.351351e+001,3.755188e+000
1090000000.0000,3.340683e+001,3.609666e+000
1135000000.0000,3.360279e+001,3.699849e+000
1180000000.0000,3.346931e+001,3.727541e+000
1225000000.0000,3.346406e+001,3.710184e+000
1270000000.0000,3.361843e+001,3.830763e+000
1315000000.0000,3.348459e+001,3.821916e+000
1360000000.0000,3.349760e+001,3.856662e+000
1405000000.0000,3.355558e+001,3.936356e+000
1450000000.0000,3.345227e+001,3.926733e+000
1495000000.0000,3.350984e+001,4.017959e+000
1540000000.0000,3.346578e+001,4.048391e+000
1585000000.0000,3.339763e+001,4.109114e+000
1630000000.0000,3.345508e+001,4.160280e+000
1675000000.0000,3.341879e+001,4.151976e+000
1720000000.0000,3.341377e+001,4.261781e+000
1765000000.0000,3.341192e+001,4.300770e+000
1810000000.0000,3.340223e+001,4.335347e+000
1855000000.0000,3.337957e+001,4.435548e+000
1900000000.0000,3.336658e+001,4.483308e+000
1945000000.0000,3.340059e+001,4.536634e+000
1990000000.0000,3.337545e+001,4.631950e+000
2035000000.0000,3.337844e+001,4.655433e+000
2080000000.0000,3.337557e+001,4.741763e+000
2125000000.0000,3.336680e+001,4.866601e+000
2170000000.0000,3.338675e+001,4.859349e+000
2215000000.0000,3.336669e+001,4.957669e+000
2260000000.0000,3.331868e+001,5.022984e+000
2305000000.0000,3.331071e+001,5.058267e+000
2350000000.0000,3.331595e+001,5.185620e+000
2395000000.0000,3.324168e+001,5.239831e+000
2440000000.0000,3.329775e+001,5.313453e+000
2485000000.0000,3.326228e+001,5.386696e+000
2530000000.0000,3.319821e+001,5.496816e+000
2575000000.0000,3.326106e+001,5.532981e+000
2620000000.0000,3.319765e+001,5.640564e+000
2665000000.0000,3.317785e+001,5.726976e+000
2710000000.0000,3.323512e+001,5.765480e+000
2755000000.0000,3.318421e+001,5.895709e+000
2800000000.0000,3.316513e+001,5.936357e+000
2845000000.0000,3.323378e+001,6.001754e+000
2890000000.0000,3.314531e+001,6.128657e+000
2935000000.0000,3.314974e+001,6.139751e+000
2980000000.0000,3.318190e+001,6.220550e+000
3025000000.0000,3.307437e+001,6.322893e+000
3070000000.0000,3.310004e+001,6.357250e+000
3115000000.0000,3.311291e+001,6.495543e+000
3160000000.0000,3.304981e+001,6.570504e+000
3205000000.0000,3.306618e+001,6.592786e+000
3250000000.0000,3.304173e+001,6.753908e+000
3295000000.0000,3.295423e+001,6.817983e+000
3340000000.0000,3.299579e+001,6.876606e+000
3385000000.0000,3.296383e+001,7.066251e+000
3430000000.0000,3.290863e+001,7.075295e+000
3475000000.0000,3.298889e+001,7.152444e+000
3520000000.0000,3.289754e+001,7.317289e+000
3565000000.0000,3.289296e+001,7.314499e+000
3610000000.0000,3.297521e+001,7.429552e+000
3655000000.0000,3.284037e+001,7.535370e+000
3700000000.0000,3.287062e+001,7.552540e+000
3745000000.0000,3.287998e+001,7.710637e+000
3790000000.0000,3.276872e+001,7.765855e+000
3835000000.0000,3.281366e+001,7.805633e+000
3880000000.0000,3.277843e+001,7.976947e+000
3925000000.0000,3.268528e+001,8.009983e+000
3970000000.0000,3.273305e+001,8.112466e+000
4015000000.0000,3.268113e+001,8.248065e+000
4060000000.0000,3.258603e+001,8.295184e+000
4105000000.0000,3.268346e+001,8.439615e+000
4150000000.0000,3.258987e+001,8.533404e+000
4195000000.0000,3.258869e+001,8.585415e+000
4240000000.0000,3.260984e+001,8.721723e+000
4285000000.0000,3.250909e+001,8.809981e+000
4330000000.0000,3.252963e+001,8.896345e+000
4375000000.0000,3.250506e+001,9.019420e+000
4420000000.0000,3.245258e+001,9.087824e+000
4465000000.0000,3.245854e+001,9.160599e+000
4510000000.0000,3.240646e+001,9.281944e+000
4555000000.0000,3.235506e+001,9.367617e+000
4600000000.0000,3.233444e+001,9.495716e+000
4645000000.0000,3.229808e+001,9.594741e+000
4690000000.0000,3.223154e+001,9.672448e+000
4735000000.0000,3.217166e+001,9.782455e+000
4780000000.0000,3.212649e+001,9.872059e+000
4825000000.0000,3.207382e+001,1.000257e+001
4870000000.0000,3.204311e+001,1.009678e+001
4915000000.0000,3.202546e+001,1.022718e+001
4960000000.0000,3.196489e+001,1.035777e+001
5005000000.0000,3.189416e+001,1.046035e+001
5050000000.0000,3.185522e+001,1.060646e+001
5095000000.0000,3.173671e+001,1.068992e+001
5140000000.0000,3.168225e+001,1.073468e+001
5185000000.0000,3.159400e+001,1.086328e+001
5230000000.0000,3.148993e+001,1.089422e+001
5275000000.0000,3.145777e+001,1.095568e+001
5320000000.0000,3.134869e+001,1.105171e+001
5365000000.0000,3.125242e+001,1.109137e+001
5410000000.0000,3.121914e+001,1.117585e+001
5455000000.0000,3.109002e+001,1.125159e+001
5500000000.0000,3.102871e+001,1.127729e+001
5545000000.0000,3.101396e+001,1.135994e+001
5590000000.0000,3.090439e+001,1.142681e+001
5635000000.0000,3.091354e+001,1.145930e+001
5680000000.0000,3.090101e+001,1.157772e+001
5725000000.0000,3.083384e+001,1.163234e+001
5770000000.0000,3.084344e+001,1.170065e+001
5815000000.0000,3.081066e+001,1.182750e+001
5860000000.0000,3.073175e+001,1.189701e+001
5905000000.0000,3.074143e+001,1.200177e+001
5950000000.0000,3.064869e+001,1.212791e+001
5995000000.0000,3.055039e+001,1.217387e+001
6040000000.0000,3.049592e+001,1.229088e+001
6085000000.0000,3.034732e+001,1.238245e+001
6130000000.0000,3.024915e+001,1.241813e+001
6175000000.0000,3.015486e+001,1.249321e+001
6220000000.0000,3.004465e+001,1.254768e+001
6265000000.0000,2.996127e+001,1.255995e+001
6310000000.0000,2.991052e+001,1.263562e+001
6355000000.0000,2.981897e+001,1.266258e+001
6400000000.0000,2.978226e+001,1.269792e+001
6445000000.0000,2.975741e+001,1.277639e+001
6490000000.0000,2.968397e+001,1.281897e+001
6535000000.0000,2.969134e+001,1.285312e+001
6580000000.0000,2.962373e+001,1.293138e+001
6625000000.0000,2.956804e+001,1.296481e+001
6670000000.0000,2.955017e+001,1.301367e+001
6715000000.0000,2.948749e+001,1.307561e+001
6760000000.0000,2.942414e+001,1.310876e+001
6805000000.0000,2.940069e+001,1.317131e+001
6850000000.0000,2.932657e+001,1.322284e+001
6895000000.0000,2.926199e+001,1.326263e+001
