!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 13:07:35
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
500000000,-2.5837026,-171.60718
504500000,-2.6448908,-172.91043
509000000,-2.6918197,-174.12392
513500000,-2.7469807,-175.28516
518000000,-2.7800379,-176.28621
522500000,-2.8409283,-177.56821
527000000,-2.8924103,-178.72916
531500000,-2.9451804,-179.96426
536000000,-3.0021887,178.66277
540500000,-3.0565481,177.25949
545000000,-3.1235943,175.89719
549500000,-3.2005703,174.61809
554000000,-3.2725048,173.45761
558500000,-3.3664508,172.41087
563000000,-3.4421751,171.66336
567500000,-3.5303202,170.63557
572000000,-3.6103339,169.81999
576500000,-3.7266381,168.74994
581000000,-3.8306196,167.79774
585500000,-3.8921533,166.77419
590000000,-3.9406991,165.35628
594500000,-4.0379992,164.0433
599000000,-4.1344032,162.72099
603500000,-4.2180095,161.72945
608000000,-4.2696223,160.83223
612500000,-4.3255219,159.61034
617000000,-4.3782654,158.7014
621500000,-4.4029689,157.30313
626000000,-4.4448333,156.15869
630500000,-4.5128112,154.85805
635000000,-4.5980005,153.62231
639500000,-4.6826816,152.19652
644000000,-4.7188144,150.83656
648500000,-4.7764339,149.48668
653000000,-4.8585258,147.94458
657500000,-4.9364505,146.40909
662000000,-5.0693049,144.87624
666500000,-5.2154789,143.70123
671000000,-5.3771787,142.43207
675500000,-5.5720177,141.15157
680000000,-5.74755,140.21722
684500000,-5.9760342,139.05377
689000000,-6.1898208,138.22504
693500000,-6.3670444,136.92311
698000000,-6.5437899,135.60896
702500000,-6.7011266,134.21068
707000000,-6.8945704,132.83739
711500000,-7.078927,131.52831
716000000,-7.276763,130.3257
720500000,-7.4417076,129.3774
725000000,-7.6866493,128.4827
729500000,-7.9653187,127.73958
734000000,-8.2400808,126.91357
738500000,-8.4939938,126.18961
743000000,-8.7292309,125.66382
747500000,-8.9759665,125.18312
752000000,-9.1469431,124.61211
756500000,-9.3893604,123.77782
761000000,-9.6333189,123.18215
765500000,-9.8661118,123.31054
770000000,-10.118949,123.466
774500000,-10.325401,123.76875
779000000,-10.724516,124.6842
783500000,-10.950801,126.18423
788000000,-11.156422,126.05476
792500000,-11.503719,125.88319
797000000,-11.849593,126.53794
801500000,-11.993041,126.66462
806000000,-12.1818,125.30068
810500000,-12.53432,124.54072
