"Freq [GHz]","dB(S(1,1)) []"
0.5,-1.45654701896546
0.509,-1.61673140951896
0.518,-1.80121559330569
0.527,-2.01309752144875
0.536,-2.25550715056505
0.545,-2.53140794198958
0.554,-2.84330615824903
0.563,-3.1928499975241
0.572,-3.58030775053153
0.581,-4.00393018441297
0.59,-4.45923245246602
0.599,-4.93828191765782
0.608,-5.42915614222971
0.617,-5.91583402509712
0.626,-6.37886297219981
0.635,-6.79710996858235
0.644,-7.15062523704513
0.653,-7.42409277154936
0.662,-7.60976802928178
0.671,-7.70871456138134
0.68,-7.72982984445589
0.689,-7.68719753605101
0.698,-7.59694177934712
0.707,-7.47463237725938
0.716,-7.33371089092973
0.725,-7.18487738876858
0.734,-7.0361299107113
0.743,-6.89313781257141
0.752,-6.75972248786727
0.761,-6.6383196433752
0.77,-6.53036958624291
0.779,-6.43662333771317
0.788,-6.35737178819415
0.797,-6.29261186088059
0.806,-6.24216420717399
0.815,-6.20575501481206
0.824,-6.18307191882199
0.833,-6.17380156760307
0.842,-6.17765438352675
0.851,-6.19438050241824
0.86,-6.22377972057147
0.869,-6.26570743951831
0.878,-6.32007800014194
0.887,-6.38686637507446
0.896,-6.46610889251916
0.905,-6.55790345928728
0.914,-6.66240960958405
0.923,-6.77984861013039
0.932,-6.91050378828567
0.941,-7.05472120860008
0.95,-7.21291079811646
0.959,-7.38554800710017
0.968,-7.57317608631968
0.977,-7.77640906190416
0.986,-7.99593549188081
0.995,-8.23252309234459
1.004,-8.48702432282534
1.013,-8.76038301544114
1.022,-9.05364211407995
1.031,-9.36795254719356
1.04,-9.70458317280816
1.049,-10.0649315771742
1.058,-10.4505352290956
1.067,-10.8630820062436
1.076,-11.304418275075
1.085,-11.7765512792748
1.094,-12.2816401565922
1.103,-12.8219657457233
1.112,-13.3998622392548
1.121,-14.0175816129268
1.13,-14.6770412069365
1.139,-15.3793706059184
1.148,-16.1241192159339
1.157,-16.907905975551
1.166,-17.7222006009274
1.175,-18.5499009828129
1.184,-19.3606726980412
1.193,-20.1062278401956
1.202,-20.7194856132959
1.211,-21.124628067042
1.22,-21.2620296663188
1.229,-21.1168045925674
1.238,-20.7270185354799
1.247,-20.163364020116
1.256,-19.4996344400149
1.265,-18.7944393324318
1.274,-18.087108912783
1.283,-17.4010487983451
1.292,-16.7487184289214
1.301,-16.1357648990777
1.31,-15.5638568270575
1.319,-15.0324603219169
1.328,-14.5398997688598
1.337,-14.0839726670702
1.346,-13.6622971745439
1.355,-13.2725027387346
1.364,-12.9123297873065
1.373,-12.5796773116247
1.382,-12.2726210416043
1.391,-11.9894154313504
1.4,-11.7284871261635
1.409,-11.4884243332671
1.418,-11.267964615074
1.427,-11.0659825078928
1.436,-10.8814777160839
1.445,-10.7135642519832
1.454,-10.5614606737972
1.463,-10.4244814511574
1.472,-10.3020294218235
1.481,-10.1935892697067
1.49,-10.0987219398231
1.499,-10.0170599015252
1.508,-9.94830317224402
1.517,-9.89221601693159
1.526,-9.84862424155479
1.535,-9.81741300128725
1.544,-9.79852504491539
1.553,-9.7919593162548
1.562,-9.79776983126194
1.571,-9.81606474661465
1.58,-9.84700553288007
1.589,-9.89080616461455
1.598,-9.94773224312784
1.607,-10.0180999781697
1.616,-10.1022749760639
1.625,-10.2006708177876
1.634,-10.3137474649761
1.643,-10.4420096076205
1.652,-10.5860051649394
1.661,-10.7463242676855
1.67,-10.9235991784037
1.679,-11.1185057330251
1.688,-11.3317669950359
1.697,-11.5641598822108
1.706,-11.8165255370182
1.715,-12.0897841534956
1.724,-12.3849548456583
1.733,-12.7031809595409
1.742,-13.0457610189044
1.751,-13.4141852822493
1.76,-13.8101776902845
1.769,-14.2357427717672
1.778,-14.6932167454393
1.787,-15.1853213591877
1.796,-15.7152174448593
1.805,-16.2865517675161
1.814,-16.9034836209438
1.823,-17.5706630306173
1.832,-18.2931028918269
1.841,-19.0758278970302
1.85,-19.9230642279598
1.859,-20.8365017134998
1.868,-21.8117348770667
1.877,-22.8313447200072
1.886,-23.8526879407993
1.895,-24.7907644184695
1.904,-25.5078881407412
1.913,-25.8430270046488
1.922,-25.7012814344299
1.931,-25.1292022810796
1.94,-24.2760537943985
1.949,-23.2951191901547
1.958,-22.2910102632042
1.967,-21.3200802822066
1.976,-20.4074547422153
1.985,-19.5614213214082
1.994,-18.7820920319582
2.003,-18.0659817477089
2.012,-17.4082795129053
2.021,-16.8039246518398
2.03,-16.2480865911475
2.039,-15.7363536355424
2.048,-15.2647830764888
2.057,-14.8298880471841
2.066,-14.4285981451039
2.075,-14.0582117020673
2.084,-13.7163480320604
2.093,-13.4009032391519
2.102,-13.1100108380908
2.111,-12.8420073326235
2.12,-12.5954024056789
2.129,-12.3688531925027
2.138,-12.1611420743558
2.147,-11.9711574656721
2.156,-11.7978771306301
2.165,-11.6403536357103
2.174,-11.4977016134627
2.183,-11.3690865753441
2.192,-11.253715066781
2.201,-11.1508260055099
2.21,-11.0596830852223
2.219,-10.9795681611906
2.228,-10.9097755634354
2.237,-10.8496073065274
2.246,-10.7983691835614
2.255,-10.7553677452899
2.264,-10.7199081738443
2.273,-10.6912930637908
2.282,-10.6688221213226
2.291,-10.651792785101
2.3,-10.6395017596278
2.309,-10.6312474343065
2.318,-10.6263331390356
2.327,-10.6240711611456
2.336,-10.6237874200375
2.345,-10.6248266666762
2.354,-10.6265580472191
2.363,-10.6283808458121
2.372,-10.6297302033612
2.381,-10.6300825991191
2.39,-10.6289608820289
2.399,-10.625938650073
2.408,-10.6206437986311
2.417,-10.6127610922722
2.426,-10.6020336566778
2.435,-10.5882633358187
2.444,-10.5713099107245
2.453,-10.55108922656
2.462,-10.5275703207259
2.471,-10.5007716832775
2.48,-10.4707568098659
2.489,-10.4376292253551
2.498,-10.4015271630397
2.507,-10.3626180806679
2.516,-10.3210931817692
2.525,-10.2771620910799
2.534,-10.2310478084245
2.543,-10.1829820384819
2.552,-10.1332009665043
2.561,-10.0819415239385
2.57,-10.0294381643176
2.579,-9.97592014955255
2.588,-9.92160933030382
2.597,-9.86671839151675
2.606,-9.81144952528448
2.615,-9.75599348758447
2.624,-9.70052899264296
2.633,-9.64522239819072
2.642,-9.5902276361632
2.651,-9.5356863459837
2.66,-9.48172817102505
2.669,-9.4284711828143
2.678,-9.37602240174014
2.687,-9.32447838722304
2.696,-9.27392587435299
2.705,-9.22444243778003
2.714,-9.1760971670901
2.723,-9.12895134097909
2.732,-9.08305909024094
2.741,-9.03846804191907
2.75,-8.99521993895529
2.759,-8.95335123133312
2.768,-8.91289363608613
2.777,-8.87387466465994
2.786,-8.83631811701036
2.795,-8.80024454252398
2.804,-8.76567166838718
2.813,-8.73261479643475
2.822,-8.70108716979983
2.831,-8.67110031088661
2.84,-8.64266433231058
2.849,-8.61578822251525
2.858,-8.59048010779064
2.867,-8.56674749239771
2.876,-8.544597478454
2.885,-8.52403696716424
2.894,-8.50507284289281
2.903,-8.48771214147589
2.912,-8.47196220406365
2.921,-8.45783081766938
2.93,-8.4453263434848
2.939,-8.43445783389986
2.948,-8.42523513904209
2.957,-8.41766900352454
2.966,-8.41177115396355
2.975,-8.4075543776957
2.984,-8.40503259298826
2.993,-8.40422091089718
3.002,-8.40513568877964
3.011,-8.40779457531356
3.02,-8.41221654671184
3.029,-8.41842193364258
3.038,-8.42643243817546
3.047,-8.43627113986708
3.056,-8.44796248987024
3.065,-8.4615322917026
3.074,-8.47700766703311
3.083,-8.49441700453921
3.092,-8.51378988954775
3.101,-8.53515701179585
3.11,-8.55855004822857
3.119,-8.584001517286
3.128,-8.61154460061735
3.137,-8.64121292759138
3.146,-8.67304031734739
3.155,-8.70706047244676
3.164,-8.74330661744079
3.173,-8.78181107486929
3.182,-8.8226047703474
3.191,-8.86571665749845
3.2,-8.91117305255828
3.209,-8.95899686753683
3.218,-9.00920672990574
3.227,-9.06181597593087
3.236,-9.11683150404773
3.245,-9.17425247416565
3.254,-9.23406883859052
3.263,-9.29625969051201
3.272,-9.36079141688466
3.281,-9.42761564425776
3.29,-9.49666696894442
3.299,-9.56786046718103
3.308,-9.64108898698967
3.317,-9.71622023173999
