!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 13:12:03,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S22(DB),S22(DEG),
500000000,-0.12684758,-27.465639,
504500000,-0.12835421,-27.795542,
509000000,-0.14130136,-28.066992,
513500000,-0.15834619,-28.409191,
518000000,-0.16124783,-28.631344,
522500000,-0.15594848,-28.978701,
527000000,-0.15631413,-29.206882,
531500000,-0.16598533,-29.42239,
536000000,-0.18104361,-29.805761,
540500000,-0.16685478,-30.006596,
545000000,-0.16774909,-30.369078,
549500000,-0.19559644,-30.669558,
554000000,-0.21631703,-30.910751,
558500000,-0.21874231,-31.28891,
563000000,-0.21778812,-31.596424,
567500000,-0.2383377,-31.905184,
572000000,-0.2213627,-32.105255,
576500000,-0.21600182,-32.296459,
581000000,-0.18296912,-32.409729,
585500000,-0.17524785,-32.600571,
590000000,-0.17684557,-32.559792,
594500000,-0.16518536,-32.80085,
599000000,-0.15135989,-32.996544,
603500000,-0.1354171,-33.172997,
608000000,-0.16240083,-33.324009,
612500000,-0.18515866,-33.643219,
617000000,-0.16280806,-34.160629,
621500000,-0.17995931,-34.451672,
626000000,-0.15883526,-34.686924,
630500000,-0.18160188,-34.884167,
635000000,-0.16659233,-35.178272,
639500000,-0.21195132,-35.484825,
644000000,-0.18369152,-35.759716,
648500000,-0.23484464,-35.837822,
653000000,-0.19363396,-36.078438,
657500000,-0.21416986,-36.536942,
662000000,-0.23909484,-37.208668,
666500000,-0.23928466,-37.386951,
671000000,-0.25886217,-37.989811,
675500000,-0.23810105,-37.973656,
680000000,-0.28648815,-38.379395,
684500000,-0.2393139,-38.521378,
689000000,-0.22347103,-38.554535,
693500000,-0.22839619,-38.627388,
698000000,-0.22347295,-38.740833,
702500000,-0.20714433,-39.113026,
707000000,-0.19324136,-39.198292,
711500000,-0.20129007,-39.417225,
716000000,-0.22337998,-39.641167,
720500000,-0.21245272,-40.129276,
725000000,-0.16711932,-40.288227,
729500000,-0.19023669,-40.533173,
734000000,-0.22358246,-40.844551,
738500000,-0.20989092,-41.205029,
743000000,-0.20484267,-41.329018,
747500000,-0.21799828,-41.407555,
752000000,-0.21326612,-41.612846,
