"Freq [GHz]","dB(S(1,1)) []"
0.5,-3.66598934134498
0.509,-3.77986371707521
0.518,-3.89221734122288
0.527,-4.00305627083045
0.536,-4.11239480867298
0.545,-4.22025543293678
0.554,-4.32666883212094
0.563,-4.43167404721804
0.572,-4.53531872427545
0.581,-4.63765948159124
0.59,-4.73876239705245
0.599,-4.8387036224701
0.608,-4.93757013319983
0.617,-5.0354606228506
0.626,-5.13248655446388
0.635,-5.22877338117467
0.644,-5.32446195101549
0.653,-5.41971011215483
0.662,-5.51469453641529
0.671,-5.60961278031354
0.68,-5.70468560399617
0.689,-5.80015956916849
0.698,-5.89630993723754
0.707,-5.99344388817703
0.716,-6.0919040787656
0.725,-6.19207255548028
0.734,-6.29437503199834
0.743,-6.39928553345499
0.752,-6.50733139874271
0.761,-6.6190986176075
0.77,-6.73523746049858
0.779,-6.85646833555848
0.788,-6.98358777851558
0.797,-7.11747444766494
0.806,-7.25909495832425
0.815,-7.40950935076064
0.824,-7.56987594546629
0.833,-7.74145530423848
0.842,-7.92561299103421
0.851,-8.12382082116476
0.86,-8.33765631088212
0.869,-8.56880010253305
0.878,-8.8190312535255
0.887,-9.09022044810072
0.896,-9.38432142168643
0.905,-9.70336117213827
0.914,-10.0494298523713
0.923,-10.4246715623761
0.932,-10.8312775374853
0.941,-11.2714834002632
0.95,-11.7475721250858
0.959,-12.2618840547492
0.968,-12.816834564701
0.977,-13.4149385665542
0.986,-14.0588385758165
0.995,-14.7513287763667
1.004,-15.4953599207084
1.013,-16.2939961579294
1.022,-17.1502695223798
1.031,-18.0668306246349
1.04,-19.0452068187348
1.049,-20.0843228759058
1.058,-21.177683209093
1.067,-22.3082907315445
1.076,-23.440335833573
1.085,-24.5082786298486
1.094,-25.4101002550027
1.103,-26.0224045056334
1.112,-26.2523411628871
1.121,-26.0968715808331
1.13,-25.6445373603098
1.139,-25.0175114001684
1.148,-24.3181909620867
1.157,-23.6125550917677
1.166,-22.9363803617028
1.175,-22.3062011291777
1.184,-21.7277962463874
1.193,-21.2014206431852
1.202,-20.7247269319049
1.211,-20.2943146363877
1.22,-19.9065213970143
1.229,-19.5578093498775
1.238,-19.2449394105776
1.247,-18.965036400471
1.256,-18.7155994966406
1.265,-18.4944866618841
1.274,-18.2998879770977
1.283,-18.1302954823965
1.292,-17.9844732288887
1.301,-17.8614291598154
1.31,-17.7603893323741
1.319,-17.680774407117
1.328,-17.622178025696
1.337,-17.5843465365862
1.346,-17.5671594388746
1.355,-17.5706098552311
1.364,-17.594784293181
1.373,-17.6398408942294
1.382,-17.7059852932566
1.391,-17.7934431079908
1.4,-17.9024279435914
1.409,-18.0331036256396
1.418,-18.1855391658263
1.427,-18.3596547282574
1.436,-18.5551566309924
1.445,-18.7714592555931
1.454,-19.0075917804039
1.463,-19.2620881375354
1.472,-19.5328599055474
1.481,-19.8170545664382
1.49,-20.1109064374347
1.499,-20.4095954402547
1.508,-20.7071401247978
1.517,-20.996365213586
1.526,-21.2689969866233
1.535,-21.515944775519
1.544,-21.7278126484093
1.553,-21.8956414607573
1.562,-22.0118072274554
1.571,-22.0709175575629
1.58,-22.0704955764118
1.589,-22.0112630418807
1.598,-21.896939953791
1.607,-21.7336236652955
1.616,-21.5289252699971
1.625,-21.2910754360948
1.634,-21.0281677023659
1.643,-20.7476246437876
1.652,-20.4558950139241
1.661,-20.1583416353149
1.67,-19.8592621533079
1.679,-19.5619879065933
1.688,-19.2690187538047
1.697,-18.982165826561
1.706,-18.7026859813554
1.715,-18.4314001126897
1.724,-18.1687927859198
1.733,-17.9150936339991
1.742,-17.6703424172854
1.751,-17.4344401771743
1.76,-17.2071889385008
1.769,-16.9883221931866
1.778,-16.7775280802365
1.787,-16.5744668465545
1.796,-16.3787838685952
1.805,-16.1901192521984
1.814,-16.0081148099915
1.823,-15.8324190393878
1.832,-15.6626905838829
1.841,-15.4986005499871
1.85,-15.3398339660153
1.859,-15.1860906021429
