"Freq [GHz]","dB(S(1,1)) []"
1.292,-10.2675298414539
1.301,-10.418786713156
1.31,-10.5886850116084
1.319,-10.7777502325497
1.328,-10.9865671895168
1.337,-11.215777783101
1.346,-11.4660764374694
1.355,-11.7382020249736
1.364,-12.0329245650488
1.373,-12.3510242128062
1.382,-12.6932589444638
1.391,-13.0603157641345
1.4,-13.452738025547
1.409,-13.8708183885844
1.418,-14.3144428631828
1.427,-14.7828663989895
1.436,-15.2743952519796
1.445,-15.7859480806865
1.454,-16.3124716709156
1.463,-16.8462092023921
1.472,-17.3758777973985
1.481,-17.8859320011849
1.49,-18.3562818952658
1.499,-18.7630452683433
1.508,-19.0809509654541
1.517,-19.287558644621
1.526,-19.3683825815671
1.535,-19.3208715404007
1.544,-19.1551899645095
1.553,-18.8913567622295
1.562,-18.5542968384698
1.571,-18.1690556951361
1.58,-17.7576123526152
1.589,-17.3375044993518
1.598,-16.9217578257059
1.607,-16.5194870453723
1.616,-16.1367084987312
1.625,-15.7771167246046
1.634,-15.4427276914386
1.643,-15.134372413408
1.652,-14.8520590741034
1.661,-14.5952314183994
1.67,-14.3629499656952
1.679,-14.1540177736988
1.688,-13.9670672491679
1.697,-13.8006200259622
1.706,-13.653128465955
1.715,-13.5230047912818
1.724,-13.4086420365811
1.733,-13.3084297289907
1.742,-13.2207663067398
1.751,-13.1440696567606
1.76,-13.0767867026155
1.769,-13.0174026462234
1.778,-12.9644502193654
1.787,-12.9165191068247
1.796,-12.8722655457793
1.805,-12.8304219769798
1.814,-12.7898065191721
1.823,-12.7493319598035
1.832,-12.7080139049764
1.841,-12.6649777130144
1.85,-12.6194638509358
1.859,-12.5708313613846
1.868,-12.5185592058724
1.877,-12.4622453520757
1.886,-12.4016035891627
1.895,-12.3364581747444
1.904,-12.2667365287783
1.913,-12.1924602835204
1.922,-12.1137350667986
1.931,-12.0307394341933
1.94,-11.9437133734443
1.949,-11.8529467841545
1.958,-11.7587682927398
1.967,-11.6615347032206
1.976,-11.561621315993
1.985,-11.4594132758292
1.994,-11.3552980426482
2.003,-11.2496590181993
2.012,-11.1428703113108
2.021,-11.0352925849403
2.03,-10.9272698999052
2.039,-10.819127452022
2.048,-10.7111700900327
2.057,-10.6036814994873
2.066,-10.4969239409885
2.075,-10.3911384382918
2.084,-10.2865453213109
2.093,-10.1833450399648
2.102,-10.0817191761319
2.111,-9.98183159209786
2.12,-9.88382966435891
2.129,-9.78784556118165
2.138,-9.69399753079384
2.147,-9.60239117442918
2.156,-9.51312068469864
2.165,-9.42627003497723
2.174,-9.34191410976902
2.183,-9.26011976945132
2.192,-9.1809468455087
2.201,-9.10444906445424
2.21,-9.0306749001969
2.219,-8.95966835573615
2.228,-8.8914696758272
2.237,-8.8261159927266
2.246,-8.76364190735454
2.255,-8.70408000824481
2.264,-8.64746133053125
2.273,-8.5938157569738
2.282,-8.54317236267986
2.291,-8.4955597047483
2.3,-8.45100605756714
2.309,-8.40953959394393
2.318,-8.37118851164778
2.327,-8.33598110430126
2.336,-8.30394577488354
2.345,-8.27511098939914
2.354,-8.24950516753418
2.363,-8.22715650637102
2.372,-8.20809273247071
2.381,-8.19234077687232
2.39,-8.17992636681411
2.399,-8.17087352727404
2.408,-8.16520398478308
2.417,-8.16293646541969
2.426,-8.16408587849196
2.435,-8.16866237721228
2.444,-8.17667028773817
2.453,-8.18810689837851
2.462,-8.20296110165033
2.471,-8.22121188334116
2.48,-8.24282665492777
2.489,-8.2677594287878
2.498,-8.29594883979462
2.507,-8.32731602230009
2.516,-8.36176235837958
2.525,-8.39916712172094
2.534,-8.43938505183748
2.543,-8.48224390546306
2.552,-8.52754204603853
2.561,-8.575046147966
2.57,-8.62448910943247
2.579,-8.67556828545538
2.588,-8.72794417041768
2.597,-8.78123967537973
2.606,-8.83504015809481
2.615,-8.88889437070309
2.624,-8.94231648897197
2.633,-8.99478937493021
2.642,-9.04576919912217
2.651,-9.09469150726537
2.66,-9.14097875756519
2.669,-9.18404927957953
2.678,-9.2233275156515
2.687,-9.2582553063182
2.696,-9.28830387911715
2.705,-9.31298610547568
2.714,-9.3318685139485
2.723,-9.34458250112426
2.732,-9.35083417358764
2.741,-9.3504122914858
2.75,-9.34319386761895
2.759,-9.32914710083234
2.768,-9.30833147840719
2.777,-9.28089505420757
2.786,-9.2470690802135
2.795,-9.20716032164775
2.804,-9.16154150583126
2.813,-9.1106404325802
2.822,-9.05492830555916
2.831,-8.99490783144108
2.84,-8.93110158365781
2.849,-8.8640410497708
2.858,-8.79425668719535
2.867,-8.72226921198543
2.876,-8.64858224884607
2.885,-8.57367638437045
2.894,-8.49800459402041
2.903,-8.4219889585159
2.912,-8.34601854704543
2.921,-8.27044832162436
2.93,-8.19559890672008
2.939,-8.12175706826111
2.948,-8.04917675366193
2.957,-7.97808055706733
2.966,-7.90866148955742
2.975,-7.84108495088986
2.984,-7.77549081624044
2.993,-7.71199556746396
3.002,-7.65069441308219
3.011,-7.59166335420846
3.02,-7.53496116482648
3.029,-7.48063126426964
3.038,-7.42870346750377
3.047,-7.37919560505584
3.056,-7.33211500933695
3.065,-7.28745986786842
3.074,-7.24522044671664
3.083,-7.20538018944597
3.092,-7.16791669825978
3.101,-7.13280260484914
3.11,-7.10000633892068
3.119,-7.06949280252206
3.128,-7.04122395820463
3.137,-7.01515933882026
3.146,-6.99125648639359
3.155,-6.96947132708228
3.164,-6.94975848876617
3.173,-6.93207156731602
3.182,-6.91636334710086
3.191,-6.90258598081236
3.2,-6.8906911332256
3.209,-6.88063009308188
3.218,-6.87235385687787
3.227,-6.86581318797518
3.236,-6.86095865410958
3.245,-6.85774064607685
3.254,-6.85610938010359
3.263,-6.85601488617478
3.272,-6.85740698438327
3.281,-6.86023525118913
3.29,-6.8644489773263
3.299,-6.86999711896885
3.308,-6.8768282436673
3.317,-6.88489047248556
3.326,-6.89413141970799
3.335,-6.90449813144385
3.344,-6.91593702442938
3.353,-6.9283938263148
3.362,-6.94181351872282
3.371,-6.95614028437389
3.38,-6.97131745959006
3.389,-6.98728749351037
3.398,-7.00399191537526
3.407,-7.02137131126054
3.416,-7.03936531166199
3.425,-7.05791259134515
3.434,-7.07695088287803
3.443,-7.09641700525427
3.452,-7.11624690898592
3.461,-7.136375738995
3.47,-7.15673791655793
3.479,-7.1772672414517
3.488,-7.19789701531289
3.497,-7.21856018704631
3.506,-7.23918952090702
3.515,-7.25971778762512
3.524,-7.28007797864722
3.533,-7.30020354323093
3.542,-7.3200286477517
3.551,-7.3394884561675
3.56,-7.35851943014196
3.569,-7.3770596468564
3.578,-7.39504913205623
3.587,-7.4124302053864
3.596,-7.42914783458787
3.605,-7.44514999466531
3.614,-7.46038802771207
3.623,-7.47481699870556
3.632,-7.48839604228283
3.641,-7.50108869528646
3.65,-7.51286320974902
3.659,-7.52369284097367
3.668,-7.53355610547663
3.677,-7.54243700379262
3.686,-7.55032520350654
3.695,-7.55721617836333
3.704,-7.5631112999154
3.713,-7.56801787888098
3.722,-7.57194915419295
3.731,-7.57492422859436
3.74,-7.57696795056235
3.749,-7.57811074328984
3.758,-7.57838838239852
3.767,-7.57784172496914
3.776,-7.57651639333104
3.785,-7.57446241782702
3.794,-7.57173384344267
3.803,-7.56838830574201
3.812,-7.56448658197301
3.821,-7.56009212348883
3.83,-7.55527057576946
3.839,-7.55008929232825
3.848,-7.544616848653
3.857,-7.53892256207315
3.866,-7.53307602307779
3.875,-7.5271466431483
3.884,-7.52120322363439
3.893,-7.51531354961052
3.902,-7.50954401202141
3.911,-7.50395926077808
3.92,-7.49862189081758
3.929,-7.49359216250547
3.938,-7.48892775715387
3.947,-7.4846835678609
3.956,-7.48091152535824
3.965,-7.47766045808957
3.974,-7.4749759853374
3.983,-7.47290044187185
3.992,-7.47147283231324
4.001,-7.47072881317805
4.01,-7.47070070041422
4.019,-7.4714175001218
4.028,-7.47290496009439
4.037,-7.47518563980105
4.046,-7.47827899645149
4.055,-7.48220148484359
4.064,-7.48696666877754
4.073,-7.49258534192731
4.082,-7.4990656561858
4.091,-7.50641325563739
4.1,-7.5146314144585
4.109,-7.52372117719831
4.118,-7.53368150004522
4.127,-7.54450939183679
4.136,-7.55620005371998
4.145,-7.56874701651171
4.154,-7.58214227494683
4.163,-7.59637641812879
4.172,-7.61143875561884
4.181,-7.62731743870967
4.19,-7.64399957653101
4.199,-7.66147134672566
4.208,-7.67971810051712
4.217,-7.69872446206206
4.226,-7.71847442204569
4.235,-7.73895142553274
4.244,-7.76013845413563
4.253,-7.78201810260082
4.262,-7.804572649949
4.271,-7.82778412533182
4.28,-7.85163436879039
4.289,-7.87610508711788
4.298,-7.90117790504107
4.307,-7.92683441194509
4.316,-7.95305620437067
4.325,-7.97982492451603
4.334,-8.00712229497537
4.343,-8.03493014994434
4.352,-8.06323046311821
4.361,-8.09200537250405
4.37,-8.12123720236101
4.379,-8.15090848247585
4.388,-8.1810019649723
4.397,-8.21150063884463
4.406,-8.24238774239645
4.415,-8.27364677375656
4.424,-8.30526149963469
4.433,-8.3372159624701
4.442,-8.36949448611758
4.451,-8.40208168020545
4.46,-8.43496244329224
4.469,-8.46812196493969
4.478,-8.50154572681167
4.487,-8.53521950290065
4.496,-8.56912935897619
4.505,-8.60326165134206
4.514,-8.63760302498265
4.523,-8.67214041117244
4.532,-8.70686102461609
4.541,-8.74175236018178
4.55,-8.77680218928413
4.559,-8.81199855596894
4.568,-8.84732977274682
4.577,-8.88278441621852
4.586,-8.91835132253109
4.595,-8.95401958269978
4.604,-8.9897785378275
4.613,-9.02561777425042
4.622,-9.0615271186352
4.631,-9.09749663305079
4.64,-9.13351661003506
4.649,-9.16957756767461
4.658,-9.20567024471344
4.667,-9.24178559570482
4.676,-9.27791478621854
4.685,-9.31404918811423
4.694,-9.35018037489016
4.703,-9.3863001171153
4.712,-9.42240037795139
4.721,-9.45847330877067
4.73,-9.49451124487393
4.739,-9.53050670131249
4.748,-9.56645236881718
4.757,-9.60234110983637
4.766,-9.63816595468476
4.775,-9.67392009780365
4.784,-9.70959689413336
4.793,-9.74518985559759
4.802,-9.7806926476993
4.811,-9.81609908622725
4.82,-9.85140313407215
4.829,-9.88659889815087
4.838,-9.92168062643693
4.847,-9.95664270509562
4.856,-9.99147965572132
4.865,-10.026186132675
4.874,-10.0607569205192
4.883,-10.0951869315486
4.892,-10.1294712034122
4.901,-10.1636048968265
4.91,-10.1975832933743
4.919,-10.2314017933892
4.928,-10.2650559139197
4.937,-10.2985412867735
4.946,-10.331853656636
4.955,-10.3649888792621
4.964,-10.3979429197374
4.973,-10.4307118508067
4.982,-10.463291851266
4.991,-10.4956792044156
5,-10.5278702965724
