!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 13:31:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
1364000000,-24.580235,131.96771
1368500000,-24.573532,137.56737
1373000000,-24.393187,144.116
1377500000,-24.00556,152.51865
1382000000,-23.474249,160.70107
1386500000,-23.062284,167.94781
1391000000,-22.724831,174.83459
1395500000,-22.42782,-179.16971
1400000000,-21.965834,-174.83061
1404500000,-21.807999,-173.69365
1409000000,-21.642445,-172.74637
1413500000,-21.086998,-173.14784
1418000000,-20.544178,-176.00925
1422500000,-20.00811,-176.96683
1427000000,-19.064611,-177.58713
1431500000,-18.059647,-177.72404
1436000000,-17.416241,-177.64737
1440500000,-16.905018,-175.20586
1445000000,-16.279409,-173.40581
1449500000,-15.831163,-172.15015
1454000000,-15.70988,-170.54289
1458500000,-15.4796,-169.21385
1463000000,-15.272697,-168.83308
1467500000,-15.217897,-169.56725
1472000000,-15.158617,-169.80814
1476500000,-14.827651,-170.81891
1481000000,-14.532032,-172.24547
1485500000,-14.250069,-172.87279
1490000000,-13.956743,-172.45177
1494500000,-13.525702,-172.19746
1499000000,-13.349899,-171.87903
1503500000,-13.208969,-171.60712
1508000000,-13.101103,-171.23456
1512500000,-13.133763,-171.81526
1517000000,-13.033216,-171.9915
1521500000,-12.923473,-174.287
1526000000,-12.914416,-176.51768
1530500000,-12.786201,-177.81624
1535000000,-12.400379,-179.62105
1539500000,-12.10805,178.04559
1544000000,-11.862691,177.26219
1548500000,-11.549262,177.73102
1553000000,-11.182305,177.42883
1557500000,-11.05316,177.23773
1562000000,-11.034076,178.35944
1566500000,-10.917289,179.01303
1571000000,-10.872066,177.97966
1575500000,-11.040181,177.39854
1580000000,-11.052873,177.05492
1584500000,-10.909281,175.78726
1589000000,-10.858899,173.98901
1593500000,-10.80005,173.56447
1598000000,-10.594132,173.70569
1602500000,-10.387589,173.15565
1607000000,-10.387335,173.20903
1611500000,-10.391453,174.15546
1616000000,-10.270107,174.61272
1620500000,-10.370644,173.62816
1625000000,-10.587227,173.36949
1629500000,-10.562447,173.1832
1634000000,-10.51436,170.80409
1638500000,-10.539777,168.63184
1643000000,-10.442762,167.76437
1647500000,-10.152735,166.67686
1652000000,-9.8741779,165.1777
1656500000,-9.7707901,164.78952
1661000000,-9.5743256,165.80782
1665500000,-9.3595066,165.78867
1670000000,-9.3416309,165.71352
1674500000,-9.4186897,166.40009
1679000000,-9.3632641,166.75229
1683500000,-9.3387451,165.56792
1688000000,-9.4703674,164.61668
1692500000,-9.4744987,163.89372
1697000000,-9.3233652,163.10046
1701500000,-9.2414989,161.44269
1706000000,-9.279335,161.15157
1710500000,-9.1419907,161.43654
1715000000,-8.9944382,161.36392
1719500000,-9.0346537,160.85147
1724000000,-9.1716194,161.27359
1728500000,-9.1595802,161.55742
1733000000,-9.320118,160.02884
1737500000,-9.5769348,159.01616
1742000000,-9.6751738,158.48213
1746500000,-9.6210775,156.4491
1751000000,-9.659729,154.07416
1755500000,-9.6424799,152.94838
1760000000,-9.4192781,152.82877
1764500000,-9.249402,151.85738
1769000000,-9.2494001,152.04488
1773500000,-9.1796894,153.29659
1778000000,-9.0291128,153.85506
1782500000,-9.1337738,153.86462
1787000000,-9.3343954,154.55301
1791500000,-9.3646441,155.06255
1796000000,-9.4078026,153.91273
1800500000,-9.5942736,153.17529
1805000000,-9.6125069,152.9373
1809500000,-9.4700642,152.56509
1814000000,-9.3506765,151.64929
1818500000,-9.3691721,151.88399
1823000000,-9.3093662,152.90245
1827500000,-9.2020903,153.51503
1832000000,-9.3265619,153.64192
1836500000,-9.5194721,154.61865
