!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:47:43,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S22(DB),S22(DEG),
500000000,-1.8602899,-179.41977,
504500000,-1.8734648,179.51714,
509000000,-1.8772819,178.24556,
513500000,-1.890905,177.03459,
518000000,-1.8933558,175.64125,
522500000,-1.9171844,174.21494,
527000000,-1.945506,172.71144,
531500000,-1.9784192,171.14511,
536000000,-2.0012999,169.50331,
540500000,-2.010359,167.88109,
545000000,-2.0467222,166.40781,
549500000,-2.0565155,164.84215,
554000000,-2.0559587,163.40176,
558500000,-2.0641041,162.00653,
563000000,-2.0633318,160.77161,
567500000,-2.0964746,159.28796,
572000000,-2.1100919,157.85878,
576500000,-2.1405611,156.40529,
581000000,-2.1570621,155.09921,
585500000,-2.1876078,153.81046,
590000000,-2.2103467,152.36699,
594500000,-2.2476804,151.21295,
599000000,-2.2614388,150.15346,
603500000,-2.2944036,149.07852,
608000000,-2.3332913,147.86757,
612500000,-2.3966274,146.31241,
617000000,-2.4798331,145.17656,
621500000,-2.542505,143.66467,
626000000,-2.6221526,142.40648,
630500000,-2.6871986,140.88698,
635000000,-2.7613478,139.23286,
639500000,-2.8100674,137.52562,
644000000,-2.8643737,135.79021,
648500000,-2.9252927,134.04434,
653000000,-2.9916122,132.13382,
657500000,-3.0524929,130.38637,
662000000,-3.1519456,128.8166,
666500000,-3.2869294,127.58379,
671000000,-3.401284,126.10961,
675500000,-3.4785936,124.87749,
680000000,-3.5226576,123.82516,
684500000,-3.65522,122.32523,
689000000,-3.7736151,121.17105,
693500000,-3.9152813,119.82846,
698000000,-4.0744972,118.87074,
702500000,-4.2482581,118.31702,
707000000,-4.4278646,117.93509,
711500000,-4.5338321,117.66038,
716000000,-4.6445956,117.285,
720500000,-4.7427464,116.91612,
725000000,-4.9194069,116.67848,
729500000,-5.0495744,116.21072,
734000000,-5.1291065,115.63223,
738500000,-5.19943,114.63129,
743000000,-5.2600136,113.60644,
747500000,-5.3239455,112.43951,
752000000,-5.3771591,111.27301,
756500000,-5.4415264,110.07013,
761000000,-5.4752483,109.01937,
765500000,-5.5086122,108.18549,
770000000,-5.4902515,107.44731,
774500000,-5.4185867,106.37865,
779000000,-5.5497918,105.05341,
783500000,-5.6051702,104.74308,
788000000,-5.5130219,103.86343,
792500000,-5.5511584,101.94828,
797000000,-5.6927724,101.11326,
801500000,-5.7309899,100.75705,
806000000,-5.657999,99.713768,
810500000,-5.7679162,98.722321,
815000000,-5.8934669,98.491562,
819500000,-5.8748946,98.629845,
824000000,-5.9183702,97.800865,
828500000,-6.0209227,97.405357,
833000000,-6.0169783,97.033386,
837500000,-5.9934449,95.619087,
842000000,-6.0240984,92.928177,
846500000,-6.1670265,90.661133,
851000000,-6.2557979,88.470383,
855500000,-6.3917809,85.849159,
860000000,-6.6371574,83.702881,
864500000,-6.776475,82.39566,
869000000,-6.8220363,80.549675,
873500000,-6.963181,78.068184,
878000000,-7.1586905,76.459129,
882500000,-7.4132633,75.374321,
887000000,-7.5868373,73.825211,
891500000,-7.8694124,72.342239,
896000000,-8.2125883,71.879158,
900500000,-8.5789146,71.562096,
905000000,-8.7364187,72.179771,
909500000,-8.954628,72.766754,
914000000,-8.9957876,73.865578,
918500000,-8.9180593,74.056084,
923000000,-8.9999695,73.867203,
927500000,-9.1872044,74.042763,
932000000,-9.3460951,74.739944,
936500000,-9.494895,74.801918,
941000000,-9.698616,75.072212,
945500000,-9.8872108,75.343857,
950000000,-9.9374523,74.720261,
954500000,-10.057476,73.03952,
959000000,-10.166168,71.234329,
963500000,-10.200285,69.405098,
968000000,-10.184926,66.549133,
972500000,-10.273789,63.847542,
977000000,-10.461436,61.604053,
981500000,-10.663287,60.121681,
986000000,-10.823133,59.146091,
990500000,-11.059351,57.806229,
995000000,-11.326505,56.500797,
999500000,-11.680346,55.52087,
1004000000,-12.071945,54.512211,
1008500000,-12.488641,54.613331,
1013000000,-12.784068,55.764492,
1017500000,-12.996528,57.227585,
1022000000,-13.044583,59.112633,
1026500000,-13.114084,61.350754,
1031000000,-13.093563,63.512653,
1035500000,-13.043521,64.694954,
1040000000,-13.174213,65.529816,
1044500000,-13.446427,66.591156,
1049000000,-13.873194,67.411819,
1053500000,-14.366761,68.320114,
1058000000,-14.910313,69.7425,
1062500000,-15.280543,71.047989,
1067000000,-15.471903,72.036385,
1071500000,-15.526899,72.200714,
