!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:43:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
500000000,-1.7108127,-155.20152
504500000,-1.7568173,-156.62436
509000000,-1.7704318,-158.02209
513500000,-1.8104769,-159.31813
518000000,-1.8293785,-160.57991
522500000,-1.888582,-161.91197
527000000,-1.938239,-163.31396
531500000,-1.9956853,-164.66614
536000000,-2.0639534,-166.10548
540500000,-2.1248095,-167.59579
545000000,-2.1734817,-168.89101
549500000,-2.2213945,-170.33739
554000000,-2.265492,-171.6442
558500000,-2.3096328,-173.08235
563000000,-2.3635998,-174.30695
567500000,-2.4547582,-175.6653
572000000,-2.5301809,-176.95943
576500000,-2.6513565,-178.24937
581000000,-2.7793431,-179.50931
585500000,-2.9031162,179.32196
590000000,-3.0114331,178.06746
594500000,-3.1072493,176.97276
599000000,-3.1941249,175.85962
603500000,-3.2910213,174.77017
608000000,-3.3730187,173.86084
612500000,-3.4641368,172.72754
617000000,-3.5403781,172.04721
621500000,-3.5896287,171.08835
626000000,-3.6326902,170.36014
630500000,-3.6594131,169.47919
635000000,-3.7241557,168.2908
639500000,-3.7751932,167.15158
644000000,-3.8096342,165.93007
648500000,-3.8332615,164.83974
653000000,-3.8588219,163.38567
657500000,-3.8819532,162.02002
662000000,-3.9194565,160.53192
666500000,-3.9753342,159.33179
671000000,-4.0391316,157.85541
675500000,-4.1072712,156.37656
680000000,-4.2063088,154.87607
684500000,-4.3488202,153.17543
689000000,-4.5239291,151.76263
693500000,-4.6818776,150.32079
698000000,-4.8341846,148.72974
702500000,-4.9832258,147.32133
707000000,-5.1585774,145.87065
711500000,-5.2872701,144.55606
716000000,-5.4488406,143.43597
720500000,-5.5519896,142.47064
725000000,-5.7322307,141.20024
729500000,-5.9402881,140.1338
734000000,-6.1479564,139.0173
738500000,-6.402792,137.87582
743000000,-6.6104512,137.11252
747500000,-6.833662,136.26808
752000000,-7.0214658,135.57196
756500000,-7.1960425,134.75192
761000000,-7.3576746,133.74709
765500000,-7.5573068,133.42625
770000000,-7.7177825,132.97781
774500000,-7.8724504,132.67953
779000000,-8.1329269,133.05418
783500000,-8.2882395,133.83318
788000000,-8.3666496,133.39473
792500000,-8.5581036,132.6942
797000000,-8.7950249,132.81592
801500000,-8.7829018,132.57077
806000000,-8.8177509,131.0433
810500000,-8.9609823,130.19093
815000000,-8.9684725,129.55389
819500000,-8.9495707,127.74886
824000000,-9.1878891,126.25306
828500000,-9.4657612,126.39812
833000000,-9.5255518,126.51243
837500000,-9.7091866,125.53963
842000000,-9.9903812,124.71725
846500000,-10.177247,125.05757
851000000,-10.283442,123.86148
855500000,-10.520229,122.29383
860000000,-10.838748,121.82267
864500000,-10.877424,121.71945
869000000,-10.896153,120.27039
873500000,-11.149595,119.20364
878000000,-11.362276,119.01487
882500000,-11.556829,118.83466
887000000,-11.866812,117.96948
891500000,-12.328242,118.37927
896000000,-12.64255,119.41094
900500000,-13.026248,119.15116
905000000,-13.435319,118.74454
909500000,-14.0165,119.22878
914000000,-14.270283,120.00794
918500000,-14.539327,119.67392
923000000,-14.804013,120.65386
927500000,-15.055665,122.57317
932000000,-15.134755,123.66991
