"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.459969233703743
0.509,-0.506428493101269
0.518,-0.559239588967733
0.527,-0.61933212424332
0.536,-0.687775849264134
0.545,-0.765799185964292
0.554,-0.854808548389653
0.563,-0.956407595464395
0.572,-1.07241504642559
0.581,-1.20487900756632
0.59,-1.35608487153409
0.599,-1.5285527401432
0.608,-1.72501899448652
0.617,-1.94839513366979
0.626,-2.20169541221436
0.635,-2.48792325781036
0.644,-2.80990511056481
0.653,-3.17005937584462
0.662,-3.57008785567449
0.671,-4.01057777382292
0.68,-4.49050553381278
0.689,-5.00664165845404
0.698,-5.55287642490934
0.707,-6.11952882646335
0.716,-6.6927818207663
0.725,-7.25450939928793
0.734,-7.78289175081618
0.743,-8.25423966882096
0.752,-8.64617981443191
0.761,-8.9416827971998
0.77,-9.13261804608418
0.779,-9.22128721610143
0.788,-9.21920691645264
0.797,-9.14380337576556
0.806,-9.01454537164053
0.815,-8.8498515214322
0.824,-8.66531790642955
0.833,-8.47312686077893
0.842,-8.28221314597885
0.851,-8.0987846125873
0.86,-7.92692994228695
0.869,-7.76917615257573
0.878,-7.62694481506234
0.887,-7.5009016339727
0.896,-7.39121336223566
0.905,-7.29773130852855
0.914,-7.22011967128742
0.923,-7.15794374273221
0.932,-7.11072955415436
0.941,-7.07800351280924
0.95,-7.05931819500377
0.959,-7.0542686709514
0.968,-7.0625024356442
0.977,-7.08372509110335
0.986,-7.11770327036014
0.995,-7.16426583549845
1.004,-7.22330406390248
1.013,-7.29477131720508
1.022,-7.37868253699943
1.031,-7.47511380957437
1.04,-7.58420217442898
1.049,-7.70614580820799
1.058,-7.84120469018909
1.067,-7.98970184296032
1.076,-8.15202523942137
1.085,-8.32863047281811
1.094,-8.52004429907777
1.103,-8.72686917975652
1.112,-8.94978897939254
1.121,-9.18957600323897
1.13,-9.4470996006725
1.139,-9.72333660643673
1.148,-10.0193839463036
1.157,-10.336473794701
1.166,-10.6759917360879
1.175,-11.0394984415245
1.184,-11.4287554102653
1.193,-11.8457553093952
1.202,-12.2927573057095
1.211,-12.7723273929172
1.22,-13.2873828205978
1.229,-13.8412378353562
1.238,-14.4376440797425
1.247,-15.0808112401742
1.256,-15.7753780541944
1.265,-16.526272874313
1.274,-17.3383412303756
1.283,-18.2154951974299
1.292,-19.1589017230877
1.301,-20.163298107756
1.31,-21.2098946884474
1.319,-22.2540319246396
1.328,-23.208390801032
1.337,-23.9343714243948
1.346,-24.2744124822382
1.355,-24.1414645907132
1.364,-23.5880197952263
1.373,-22.7628574157674
1.382,-21.8152208409887
1.391,-20.846058506587
1.4,-19.9095588809178
1.409,-19.0298041872775
1.418,-18.2146378422337
1.427,-17.4640016846805
1.436,-16.7743531623886
1.445,-16.1408646083557
1.454,-15.5584697362755
1.463,-15.0223327381425
1.472,-14.5280343806766
1.481,-14.0716226792148
1.49,-13.6496015006854
1.499,-13.2588932693067
1.508,-12.8967933368663
1.517,-12.5609242549126
1.526,-12.249193528996
1.535,-11.9597561372274
1.544,-11.690981994523
1.553,-11.441428049357
1.562,-11.2098145092379
1.571,-10.9950046489894
1.58,-10.79598768239
1.589,-10.6118642322055
1.598,-10.4418339959342
1.607,-10.285185265131
1.616,-10.1412860108885
1.625,-10.0095762956375
1.634,-9.88956181188666
1.643,-9.78080838248876
1.652,-9.68293728531466
1.661,-9.59562128869457
1.67,-9.51858130343906
1.679,-9.45158357337521
1.688,-9.39443733972219
1.697,-9.34699292578913
1.706,-9.30914019782216
1.715,-9.28080736571036
1.724,-9.26196009397295
1.733,-9.25260089924167
1.742,-9.25276881553989
1.751,-9.26253931322901
1.76,-9.28202446172372
1.769,-9.31137333013313
1.778,-9.35077262403431
1.787,-9.40044756080326
1.796,-9.46066299050831
1.805,-9.53172477452784
1.814,-9.61398144004313
1.823,-9.7078261356744
1.832,-9.81369892213537
1.841,-9.93208944231321
1.85,-10.0635400281688
1.859,-10.2086493179474
