!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:47:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
500000000,-0.26044989,165.64536
504500000,-0.26566282,164.19986
509000000,-0.25379601,162.77309
513500000,-0.27287847,161.08073
518000000,-0.26623452,159.45668
522500000,-0.29365298,158.07404
527000000,-0.27617759,156.46721
531500000,-0.27728698,155.07233
536000000,-0.26482168,153.47548
540500000,-0.28789547,151.9052
545000000,-0.28625286,150.45038
549500000,-0.28679684,148.75026
554000000,-0.28359398,147.34135
558500000,-0.29385242,146.02856
563000000,-0.29221648,144.26724
567500000,-0.30450723,142.53502
572000000,-0.31909519,141.04883
576500000,-0.31766644,139.45271
581000000,-0.30859831,137.91042
585500000,-0.29885998,136.28186
590000000,-0.31991187,134.88338
594500000,-0.33371067,133.38879
599000000,-0.2968238,131.72545
603500000,-0.31961647,130.30525
608000000,-0.35084358,128.85652
612500000,-0.31395367,127.46348
617000000,-0.34889486,126.00513
621500000,-0.32855162,124.53281
626000000,-0.32059062,123.07523
630500000,-0.33761245,121.69585
635000000,-0.3364197,120.23952
639500000,-0.32704324,118.76196
644000000,-0.33123979,117.31055
648500000,-0.34381142,115.79598
653000000,-0.35682943,114.55775
657500000,-0.36252421,112.81973
662000000,-0.37523943,111.63539
666500000,-0.37656248,109.84126
671000000,-0.3797265,108.22193
675500000,-0.3492732,106.55186
680000000,-0.38082948,105.37549
684500000,-0.35385346,103.93113
689000000,-0.35372043,102.36594
693500000,-0.38819361,100.81377
698000000,-0.34674129,99.220421
702500000,-0.35913077,97.93985
707000000,-0.35247871,96.590393
711500000,-0.35992202,94.922836
716000000,-0.33890924,93.935516
720500000,-0.35027134,92.361084
725000000,-0.36729175,90.930046
729500000,-0.35618114,89.588661
734000000,-0.37493142,88.210159
738500000,-0.37438577,86.663475
743000000,-0.3665666,85.365646
747500000,-0.38713074,83.813225
752000000,-0.37289572,82.377037
756500000,-0.38653377,80.998123
761000000,-0.38173246,79.481842
