"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.341845957481444
0.509,-0.36750614035164
0.518,-0.39581835082626
0.527,-0.42708672552501
0.536,-0.461648457643758
0.545,-0.499876688420219
0.554,-0.54218342257958
0.563,-0.5890223815894
0.572,-0.640891678040095
0.581,-0.698336157501098
0.59,-0.761949210441785
0.599,-0.832373806371768
0.608,-0.910302446078936
0.617,-0.996475667571691
0.626,-1.09167868025015
0.635,-1.1967356447851
0.644,-1.31250106990262
0.653,-1.43984777041949
0.662,-1.57965083378104
0.671,-1.7327670863475
0.68,-1.90000964693071
0.689,-2.08211731305152
0.698,-2.27971875106131
0.707,-2.49329175572345
0.716,-2.72311820372764
0.725,-2.96923574018726
0.734,-3.23138769731063
0.743,-3.50897324296103
0.752,-3.8010002935088
0.761,-4.10604430740022
0.77,-4.42221671024267
0.779,-4.74714737618411
0.788,-5.07798623824022
0.797,-5.4114295615912
0.806,-5.74377639892269
0.815,-6.07101983741366
0.824,-6.38897537078251
0.833,-6.69344473849415
0.842,-6.98040791409546
0.851,-7.24622931264491
0.86,-7.48785821775942
0.869,-7.7029999163991
0.878,-7.89023492109934
0.887,-8.0490697296239
0.896,-8.17991288106913
0.905,-8.28398205740084
0.914,-8.36315840136881
0.923,-8.41981044429659
0.932,-8.4566110193776
0.941,-8.47636698326363
0.95,-8.48187532603008
0.959,-8.47581239323933
0.968,-8.46065706132874
0.977,-8.43864460232775
0.986,-8.41174574506936
0.995,-8.38166474807772
1.004,-8.34985064057875
1.013,-8.31751668497372
1.022,-8.28566420536242
1.031,-8.25510798412781
1.04,-8.22650133508031
1.049,-8.20035967689024
1.058,-8.17708195938706
1.067,-8.15696966441903
1.076,-8.14024334590088
1.085,-8.12705682274756
1.094,-8.11750922103669
1.103,-8.11165509951497
1.112,-8.10951290148977
1.121,-8.11107196762643
1.13,-8.11629832600526
1.139,-8.12513945311776
1.148,-8.13752817553853
1.157,-8.15338585873031
1.166,-8.1726250078873
1.175,-8.1951513863926
1.184,-8.22086574050808
1.193,-8.24966520427022
1.202,-8.28144444606349
1.211,-8.31609660775838
1.22,-8.35351407839823
1.229,-8.3935891369615
