!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:16:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
1242500000,-12.0064,145.77698
1247000000,-11.96978,143.67686
1251500000,-11.879272,141.8862
1256000000,-11.69988,140.41138
1260500000,-11.492719,139.48132
1265000000,-11.382827,139.06514
1269500000,-11.340303,139.4948
1274000000,-11.306577,139.80469
1278500000,-11.266367,139.97536
1283000000,-11.432079,140.11272
1287500000,-11.56468,140.04199
1292000000,-11.720684,139.174
1296500000,-11.892642,137.76022
1301000000,-12.126228,135.66901
1305500000,-12.263511,134.06711
1310000000,-12.327363,132.55128
1314500000,-12.293013,131.13017
1319000000,-12.270181,129.60803
1323500000,-12.211745,128.93005
1328000000,-12.14907,128.19182
1332500000,-12.146749,127.14731
1337000000,-12.203839,125.98788
1341500000,-12.207651,124.39691
1346000000,-12.143381,121.83861
1350500000,-12.158816,118.61687
1355000000,-12.094565,116.31555
1359500000,-11.958767,113.88807
1364000000,-11.776032,111.97846
1368500000,-11.732872,111.10261
1373000000,-11.632819,111.2616
1377500000,-11.572949,111.93451
1382000000,-11.590106,111.9689
1386500000,-11.747361,112.18536
1391000000,-12.0075,112.08054
1395500000,-12.223639,110.90892
1400000000,-12.670393,109.045
1404500000,-13.015715,107.41667
1409000000,-13.260429,105.08443
1413500000,-13.45483,102.27158
1418000000,-13.639796,100.22233
1422500000,-13.792286,98.770065
1427000000,-13.794625,97.19278
1431500000,-13.911246,95.572472
1436000000,-14.214504,94.428734
1440500000,-14.433126,93.30912
1445000000,-14.663764,91.215103
1449500000,-15.01328,88.713631
1454000000,-15.296206,86.905716
1458500000,-15.307333,85.290657
1463000000,-15.305678,82.298874
1467500000,-15.336565,81.814423
1472000000,-15.207709,82.336906
1476500000,-14.981861,83.127739
1481000000,-14.895749,84.532059
1485500000,-14.907454,87.075272
1490000000,-14.845745,89.04586
1494500000,-14.991479,90.156952
1499000000,-15.275797,90.87632
1503500000,-15.656984,90.33979
1508000000,-16.213266,88.97464
1512500000,-16.859198,87.120918
1517000000,-17.220901,84.064812
1521500000,-17.489326,80.232811
1526000000,-17.773478,77.503174
1530500000,-17.817453,75.79995
1535000000,-17.753551,73.858376
1539500000,-17.96426,71.207336
1544000000,-18.366964,70.370407
1548500000,-18.673952,69.084511
1553000000,-19.134789,65.553032
1557500000,-19.7232,62.188435
1562000000,-19.976011,58.414169
1566500000,-20.051819,53.722725
1571000000,-20.004631,49.27713
1575500000,-20.021517,47.633492
1580000000,-19.884136,49.931526
1584500000,-19.699802,52.246113
1589000000,-19.753721,56.010101
1593500000,-20.09738,61.979301
1598000000,-20.373615,67.318047
1602500000,-21.024893,72.265503
1607000000,-21.904024,77.984253
1611500000,-22.668116,81.866821
1616000000,-23.671257,83.299477
1620500000,-24.932465,81.976799
1625000000,-26.241379,78.792122
1629500000,-26.923731,75.063553
1634000000,-27.342104,70.943199
1638500000,-27.729012,69.444183
1643000000,-27.728413,69.771896
1647500000,-27.899027,68.732773
1652000000,-28.567844,69.657349
1656500000,-29.506844,71.306137
1661000000,-30.742634,70.166931
1665500000,-32.159901,62.431049
1670000000,-33.030968,52.587261
1674500000,-32.256592,39.726868
1679000000,-30.992514,29.527031
1683500000,-29.555466,27.664803
1688000000,-28.525543,31.449354
1692500000,-27.373829,39.332642
1697000000,-26.947882,46.304966
1701500000,-26.791916,56.360432
1706000000,-27.153833,67.943436
1710500000,-27.330294,80.568939
1715000000,-28.130486,96.748093
1719500000,-28.753439,112.61282
1724000000,-29.314571,127.62125
1728500000,-29.909851,143.32935
1733000000,-30.260651,156.54224
1737500000,-30.854908,165.67107
1742000000,-31.85869,174.80302
1746500000,-31.933737,178.09706
1751000000,-31.789915,175.82552
1755500000,-31.294624,175.3125
1760000000,-30.40889,177.78253
1764500000,-29.300859,-179.15005
1769000000,-28.593218,-174.15942
1773500000,-27.97373,-167.75723
1778000000,-27.75469,-162.6088
1782500000,-28.332167,-156.93604
1787000000,-29.598534,-151.22894
1791500000,-31.510473,-149.73018
1796000000,-34.782719,-157.36603
1800500000,-38.672546,177.82899
1805000000,-36.292995,135.76569
1809500000,-31.684261,127.06506
1814000000,-28.423553,128.24811
1818500000,-26.096951,131.29175
1823000000,-24.700176,136.12013
1827500000,-23.802731,141.6295
1832000000,-23.390272,147.06206
1836500000,-23.558134,152.31073
1841000000,-23.715843,158.23448
1845500000,-23.932083,161.59268
1850000000,-24.430101,164.63573
1854500000,-24.698565,165.06822
1859000000,-24.915726,166.1064
1863500000,-24.785042,165.55424
1868000000,-24.716129,166.92038
1872500000,-24.640711,168.91705
1877000000,-24.373875,172.46599
1881500000,-24.595615,178.95178
1886000000,-24.667988,-173.30862
1890500000,-24.934584,-166.1217
1895000000,-25.7458,-160.64499
1899500000,-26.702208,-154.70213
1904000000,-28.035315,-155.53304
1908500000,-29.635759,-158.45253
1913000000,-31.403418,-173.8102
1917500000,-31.174416,165.00589
1922000000,-28.954508,153.17589
1926500000,-26.760096,145.96368
1931000000,-24.945961,144.88617
1935500000,-23.557791,148.67999
1940000000,-22.63028,153.17516
1944500000,-22.126701,158.01981
1949000000,-21.846771,163.19943
1953500000,-21.788233,167.91969
1958000000,-21.729462,170.48021
1962500000,-21.947571,172.18079
1967000000,-21.941553,173.89648
1971500000,-21.669752,173.32408
1976000000,-21.372087,172.87576
1980500000,-20.948111,173.74265
1985000000,-20.441685,175.56094
1989500000,-20.030888,177.21568
1994000000,-20.094311,179.64578
1998500000,-20.169657,-176.81973
2003000000,-20.537746,-173.04492
2007500000,-21.333099,-171.74179
2012000000,-22.499929,-170.71834
2016500000,-23.88784,-173.56139
2021000000,-25.34256,179.12274
2025500000,-26.147902,166.21017
2030000000,-25.669731,154.78928
2034500000,-24.270889,148.3165
2039000000,-22.928057,145.0069
2043500000,-21.85503,145.61308
2048000000,-20.975468,148.43623
2052500000,-20.450539,151.48128
2057000000,-20.199656,154.06285
2061500000,-20.342859,157.91212
2066000000,-20.368864,160.76605
2070500000,-20.542294,162.31287
2075000000,-20.634575,163.99031
2079500000,-20.415401,166.16272
2084000000,-20.097391,166.92412
2088500000,-19.701904,168.10422
2093000000,-19.349621,170.98114
2097500000,-18.828053,173.69809
2102000000,-18.609531,177.02737
2106500000,-18.533484,-179.05554
2111000000,-18.629616,-174.23112
2115500000,-18.601454,-171.33409
2120000000,-19.261477,-170.34825
2124500000,-19.908295,-169.3477
2129000000,-20.568459,-171.53662
2133500000,-21.200531,-179.14658
2138000000,-21.590673,171.82008
2142500000,-21.421946,164.29758
2147000000,-20.442909,157.56049
2151500000,-19.526743,152.87378
2156000000,-18.59107,152.42575
2160500000,-17.951384,152.92506
2165000000,-17.345329,153.36627
2169500000,-17.068352,154.59998
2174000000,-16.973162,156.01828
2178500000,-16.850359,156.92747
2183000000,-16.676029,156.18535
2187500000,-16.69545,155.08647
2192000000,-16.503181,154.77327
2196500000,-16.195152,154.05226
2201000000,-15.940791,153.73772
2205500000,-15.822789,155.05684
2210000000,-15.679506,157.83153
2214500000,-15.628545,160.01094
2219000000,-15.901914,162.17473
2223500000,-16.292437,164.87466
2228000000,-16.804579,165.97328
2232500000,-17.629547,164.30132
2237000000,-18.503796,162.49994
2241500000,-18.995369,156.46948
2246000000,-19.465038,147.93797
2250500000,-19.33955,141.63776
2255000000,-18.57736,136.92082
2259500000,-17.820646,133.18892
2264000000,-17.325773,131.30899
2268500000,-16.837763,132.58435
2273000000,-16.382988,133.42749
2277500000,-16.167744,133.68788
2282000000,-16.122608,134.49899
2286500000,-16.084585,135.65558
2291000000,-15.920741,135.50288
2295500000,-15.918505,134.97961
2300000000,-15.761906,135.59373
2304500000,-15.370611,135.92413
2309000000,-15.095023,135.94257
2313500000,-15.01354,137.21506
2318000000,-14.844895,139.73619
2322500000,-14.765575,141.0179
2327000000,-15.048346,141.91612
2331500000,-15.561087,144.34546
2336000000,-16.003872,144.819
2340500000,-16.736088,142.72052
2345000000,-17.673855,140.05264
2349500000,-18.28723,135.56375
2354000000,-18.427626,127.47865
2358500000,-18.351921,118.23415
2363000000,-17.92841,112.77396
2367500000,-17.317636,109.37598
2372000000,-16.666056,107.47574
2376500000,-16.25252,106.3573
2381000000,-15.971358,107.08061
2385500000,-15.733965,107.98233
2390000000,-15.600849,107.45041
2394500000,-15.736293,107.29904
2399000000,-15.711459,107.46288
2403500000,-15.647643,106.31378
2408000000,-15.638197,105.11004
2412500000,-15.579253,105.10854
2417000000,-15.357291,106.17309
2421500000,-15.331545,106.51278
2426000000,-15.603703,107.96066
2430500000,-15.999967,111.55623
2435000000,-16.445568,113.65659
2439500000,-17.288977,114.44468
2444000000,-18.587591,114.60502
2448500000,-19.742556,113.51647
2453000000,-21.163235,106.66235
2457500000,-22.260237,96.82917
2462000000,-22.335918,85.928383
2466500000,-21.594486,76.145767
2471000000,-20.829037,68.938911
2475500000,-20.173071,66.503792
2480000000,-19.568968,65.834915
2484500000,-19.108587,66.349052
2489000000,-18.877964,66.784157
2493500000,-18.913092,68.00602
2498000000,-18.996841,68.331062
2502500000,-19.119194,68.709389
2507000000,-19.270496,68.554955
2511500000,-19.370319,68.671669
2516000000,-19.370867,69.479721
2520500000,-19.471563,70.017319
2525000000,-19.779251,72.326462
2529500000,-20.285072,76.326401
2534000000,-20.96977,80.681084
2538500000,-22.084034,86.098457
2543000000,-23.533974,92.019302
2547500000,-25.820807,100.07767
2552000000,-29.323597,106.2577
2556500000,-35.620945,120.52167
2561000000,-49.745361,-141.1591
2565500000,-34.754501,-61.065388
2570000000,-29.981129,-53.23962
2574500000,-27.393621,-44.066925
2579000000,-25.853027,-37.191757
2583500000,-25.254654,-29.276373
2588000000,-25.188135,-22.900175
2592500000,-25.529598,-16.865387
2597000000,-25.963856,-13.938295
2601500000,-27.110317,-12.133536
2606000000,-28.128714,-11.713009
2610500000,-29.506378,-14.31009
2615000000,-30.96043,-15.764242
2619500000,-33.168209,-13.422573
2624000000,-34.609203,-6.4820528
2628500000,-38.041462,2.9071782
2633000000,-43.515377,38.165386
2637500000,-40.57045,140.22958
2642000000,-33.451118,160.74098
2646500000,-29.341841,174.63901
2651000000,-26.373732,-173.52596
2655500000,-24.011801,-163.46413
2660000000,-22.35586,-154.16267
2664500000,-20.82493,-144.4292
2669000000,-19.880148,-137.28989
2673500000,-19.445793,-129.67865
2678000000,-19.070723,-122.39116
2682500000,-18.82539,-116.78593
2687000000,-19.00968,-111.91482
2691500000,-19.079615,-108.75636
2696000000,-19.306076,-107.37096
2700500000,-19.800482,-108.4502
2705000000,-20.214905,-109.54523
2709500000,-20.323875,-112.67196
2714000000,-20.614956,-116.26078
2718500000,-20.944117,-120.37494
2723000000,-20.953705,-124.33649
2727500000,-21.050385,-129.89754
2732000000,-21.022327,-136.51967
2736500000,-20.852888,-143.84506
2741000000,-20.466448,-151.41359
2745500000,-19.566364,-158.23549
2750000000,-18.609501,-163.04033
2754500000,-17.483778,-166.65213
2759000000,-16.511183,-168.17471
2763500000,-15.415195,-167.22557
2768000000,-14.558259,-165.64919
2772500000,-13.95158,-163.71574
2777000000,-13.471643,-160.4202
2781500000,-13.174537,-157.60974
2786000000,-12.999383,-155.46445
2790500000,-13.079858,-152.9249
2795000000,-13.2289,-151.09868
2799500000,-13.485265,-150.41051
2804000000,-13.792991,-150.3786
2808500000,-14.12443,-151.84335
2813000000,-14.362709,-154.28123
2817500000,-14.586523,-157.0777
2822000000,-14.78263,-160.21265
2826500000,-14.926863,-163.56223
2831000000,-15.026038,-166.89661
2835500000,-15.141232,-170.90096
2840000000,-15.231523,-174.70064
2844500000,-15.102353,-178.79384
2849000000,-14.893826,176.6599
2853500000,-14.433002,171.94098
2858000000,-13.838981,169.50262
2862500000,-13.073658,167.45103
2867000000,-12.408298,166.39658
2871500000,-11.889241,166.90915
2876000000,-11.286488,168.63588
2880500000,-10.884539,170.23189
2885000000,-10.713194,172.31563
2889500000,-10.659027,174.66527
2894000000,-10.598543,176.60632
2898500000,-10.713543,177.66473
2903000000,-10.995933,178.90677
2907500000,-11.202567,179.80278
2912000000,-11.501451,178.73538
2916500000,-11.90223,177.51788
2921000000,-12.235221,176.98273
2925500000,-12.473656,175.15752
2930000000,-12.720822,172.30629
2934500000,-13.040816,169.59113
2939000000,-13.172119,166.72951
2943500000,-13.258204,163.05988
2948000000,-13.293672,158.33656
2952500000,-13.267939,154.69972
2957000000,-12.967916,151.40776
2961500000,-12.463558,147.59891
2966000000,-12.120171,145.02126
2970500000,-11.646745,143.99376
2975000000,-11.087368,143.98227
2979500000,-10.625818,143.85344
2984000000,-10.319226,145.435
2988500000,-10.027089,148.27295
2993000000,-9.7073784,149.79265
2997500000,-9.773366,151.74535
3002000000,-9.7712708,154.78693
3006500000,-9.8437872,156.22382
3011000000,-10.203286,157.66071
3015500000,-10.483276,159.29379
3020000000,-10.740164,159.37016
3024500000,-11.138616,158.48708
3029000000,-11.540598,157.96631
3033500000,-11.79861,156.6606
3038000000,-12.1008,154.09315
3042500000,-12.464251,151.3551
3047000000,-12.766356,148.97485
3051500000,-12.822196,145.60674
3056000000,-12.936617,140.74036
3060500000,-13.032619,136.62759
3065000000,-12.813194,133.15475
3069500000,-12.380907,129.38011
3074000000,-11.908061,126.50404
3078500000,-11.481668,125.69358
3083000000,-10.882667,126.36703
3087500000,-10.361194,126.75557
3092000000,-10.078949,128.31277
3096500000,-9.8051214,131.18938
3101000000,-9.4782753,133.56439
3105500000,-9.3951645,135.29077
3110000000,-9.5109682,138.02054
3114500000,-9.491457,140.79475
3119000000,-9.6305971,141.97516
3123500000,-9.9454184,143.19696
3128000000,-10.173482,144.66951
3132500000,-10.402666,145.01308
3137000000,-10.78266,144.66763
3141500000,-11.285131,144.40184
3146000000,-11.66203,143.28346
3150500000,-11.99751,140.46791
3155000000,-12.547463,136.83603
3159500000,-12.929271,133.79774
3164000000,-12.971417,129.11639
3168500000,-12.948441,123.63961
3173000000,-12.852058,119.01594
3177500000,-12.441043,116.01254
3182000000,-11.88456,113.46256
3186500000,-11.411226,111.11811
3191000000,-10.959322,111.02942
3195500000,-10.429701,112.32067
3200000000,-9.9097786,112.82774
3204500000,-9.6710844,114.80396
3209000000,-9.465765,117.54081
3213500000,-9.1733437,120.16299
3218000000,-9.1741962,121.84955
3222500000,-9.2796688,124.84052
3227000000,-9.2884331,127.76569
3231500000,-9.4605703,129.30116
3236000000,-9.8058128,130.81187
3240500000,-10.163696,132.82791
3245000000,-10.497037,133.28259
3249500000,-10.972227,132.82687
3254000000,-11.578486,132.51822
3258500000,-12.048898,131.95656
3263000000,-12.532144,128.95493
3267500000,-13.159727,125.46197
3272000000,-13.635986,121.53143
3276500000,-13.761146,115.97767
3281000000,-13.584055,109.17502
3285500000,-13.369568,104.10778
3290000000,-12.845748,101.19463
3294500000,-12.083135,98.939842
3299000000,-11.50897,97.158783
3303500000,-11.043692,98.134155
3308000000,-10.44668,99.955643
3312500000,-9.9553299,101.51125
3317000000,-9.7329931,103.87119
3321500000,-9.4851246,107.2243
3326000000,-9.2274904,109.68739
3330500000,-9.1761208,111.73059
3335000000,-9.2648363,115.01914
3339500000,-9.2534437,118.34582
3344000000,-9.3266687,120.04826
3348500000,-9.6598339,121.97165
3353000000,-9.9980488,124.98349
3357500000,-10.306512,126.23895
3362000000,-10.9312,126.31123
3366500000,-11.648817,126.44106
3371000000,-12.299366,125.5198
3375500000,-12.967234,121.93705
3380000000,-13.725502,116.95814
3384500000,-14.267195,111.62964
3389000000,-14.22331,104.96751
3393500000,-14.014184,97.720146
3398000000,-13.625978,91.967537
3402500000,-13.03691,89.580803
3407000000,-12.202209,87.63665
3411500000,-11.603509,86.246696
3416000000,-11.070282,87.417267
3420500000,-10.447389,89.426964
3425000000,-9.9353962,90.691833
3429500000,-9.6671324,93.02549
3434000000,-9.4032488,96.724457
3438500000,-9.0882654,99.543816
3443000000,-9.0310049,102.04859
3447500000,-9.1070929,105.83152
3452000000,-9.0529003,109.3964
3456500000,-9.1583309,111.75404
3461000000,-9.527195,114.30067
3465500000,-9.9246645,117.63786
3470000000,-10.317195,119.33147
3474500000,-10.993782,120.03888
3479000000,-11.846169,121.04375
3483500000,-12.635652,120.47136
3488000000,-13.4726,116.69827
3492500000,-14.457366,111.099
3497000000,-15.127908,104.64831
3501500000,-15.231525,96.925026
3506000000,-14.885307,87.933479
3510500000,-14.356213,82.059357
3515000000,-13.521369,78.988907
3519500000,-12.635608,77.153542
3524000000,-11.919346,76.268562
3528500000,-11.349354,77.734756
3533000000,-10.624367,79.768967
3537500000,-10.071117,81.312073
3542000000,-9.7235174,83.80648
3546500000,-9.366889,87.399261
3551000000,-8.9297972,90.398537
3555500000,-8.7692289,93.201935
3560000000,-8.7287931,97.206833
3564500000,-8.6208286,101.43091
3569000000,-8.7009687,104.26971
3573500000,-9.1048269,107.57754
3578000000,-9.4490986,111.23652
3582500000,-9.9711828,113.76561
3587000000,-10.76812,114.75263
3591500000,-11.782562,115.72902
