"Freq [GHz]","dB(S(1,1)) []"
3.209,-9.67241498303287
3.218,-9.66757219802457
3.227,-9.6599173791097
3.236,-9.64969514197615
3.245,-9.63716138867164
3.254,-9.62257879085188
3.263,-9.60621258982169
3.272,-9.58832679434719
3.281,-9.56918083109649
3.29,-9.5490266780194
3.299,-9.52810648915859
3.308,-9.50665070102338
3.317,-9.48487659608604
3.326,-9.46298728818824
3.335,-9.44117108742901
3.344,-9.41960119803885
3.353,-9.3984357013242
3.362,-9.37781777645823
3.371,-9.35787611417471
3.38,-9.33872548181605
3.389,-9.32046740227892
3.398,-9.30319091385107
3.407,-9.28697338247044
3.416,-9.27188134236057
3.425,-9.2579713451628
3.434,-9.24529080150341
3.443,-9.23387880235067
3.452,-9.22376691051337
3.461,-9.21497991521047
3.47,-9.20753654482165
3.479,-9.20145013473833
3.488,-9.19672924871212
3.497,-9.19337825327873
3.506,-9.19139784576063
3.515,-9.19078553705687
3.524,-9.19153609094882
3.533,-9.19364192201727
3.542,-9.19709345450721
3.551,-9.20187944461605
3.56,-9.20798726874024
3.569,-9.21540318021176
3.578,-9.22411253700437
3.587,-9.23410000280369
3.596,-9.24534972372262
3.605,-9.2578454828151
3.614,-9.27157083440177
3.623,-9.28650922007562
3.632,-9.30264406810929
3.641,-9.31995887784053
3.65,-9.33843729046973
3.659,-9.35806314756743
3.668,-9.3788205384582
3.677,-9.40069383752351
3.686,-9.42366773234875
3.695,-9.44772724352923
3.704,-9.47285773684674
3.713,-9.49904492843117
3.722,-9.52627488343104
3.731,-9.55453400863199
3.74,-9.5838090393823
3.749,-9.61408702110988
3.758,-9.64535528564417
3.767,-9.67760142248956
3.776,-9.71081324513295
3.785,-9.74497875240715
3.794,-9.78008608487232
3.803,-9.81612347612131
3.812,-9.85307919885797
3.821,-9.8909415055433
3.83,-9.92969856334976
3.839,-9.96933838311
3.848,-10.0098487418926
3.857,-10.0512170987834
3.866,-10.0934305033968
3.875,-10.1364754965867
3.884,-10.1803380027734
3.893,-10.2250032132462
3.902,-10.2704554597499
3.911,-10.316678077608
3.92,-10.3636532575859
3.929,-10.411361885646
3.938,-10.4597833697051
3.947,-10.5088954524603
3.956,-10.5586740093218
3.965,-10.6090928304646
3.974,-10.6601233860052
3.983,-10.7117345733126
3.992,-10.7638924454924
4.001,-10.816559920136
4.01,-10.8696964675123
4.019,-10.9232577775012
4.028,-10.9771954047439
4.037,-11.0314563917083
4.046,-11.0859828696662
4.055,-11.1407116379511
4.064,-11.1955737223322
4.073,-11.2504939139117
4.082,-11.305390290648
4.091,-11.3601737244352
4.1,-11.4147473776542
4.109,-11.4690061942586
4.118,-11.5228363917888
4.127,-11.5761149622216
4.136,-11.6287091912769
4.145,-11.6804762076929
4.154,-11.7312625760615
4.163,-11.7809039490254
4.172,-11.8292247969668
4.181,-11.8760382356733
4.19,-11.9211459747755
4.199,-11.9643384118944
4.208,-12.0053948992633
4.217,-12.0440842109305
4.226,-12.0801652392897
4.235,-12.1133879494067
4.244,-12.1434946181541
4.253,-12.1702213822941
4.262,-12.1933001151197
4.271,-12.212460644897
4.28,-12.227433320013
4.289,-12.2379519154115
4.298,-12.243756862704
4.307,-12.2445987725524
4.316,-12.2402422029883
4.325,-12.2304696119096
4.334,-12.2150854169026
4.343,-12.1939200717335
4.352,-12.1668340573814
4.361,-12.1337216773841
4.37,-12.0945145434739
4.379,-12.0491846387158
4.388,-11.9977468520571
4.397,-11.9402608903747
4.406,-11.8768324913925
4.415,-11.8076138824045
4.424,-11.7328034544079
4.433,-11.6526446475625
4.442,-11.5674240702548
4.451,-11.4774688988805
4.46,-11.3831436273495
4.469,-11.2848462531375
4.478,-11.1830039997112
4.487,-11.0780686830183
4.496,-10.9705118325316
4.505,-10.8608196755316
4.514,-10.7494880875999
4.523,-10.6370176035818
4.532,-10.5239085725053
4.541,-10.4106565280388
4.55,-10.2977478338473
4.559,-10.1856556513178
4.568,-10.0748362660534
4.577,-9.96572579955214
4.586,-9.85873732372844
4.595,-9.75425838837334
4.604,-9.65264896517913
4.613,-9.55423980639773
4.622,-9.45933121137107
4.631,-9.36819218988295
4.64,-9.28106000738776
4.649,-9.19814009356958
4.658,-9.1196062923293
4.667,-9.04560142818587
4.676,-8.97623816125609
4.685,-8.9116001005168
4.694,-8.85174314304001
4.703,-8.79669700541412
4.712,-8.7464669126957
4.721,-8.70103541002789
4.73,-8.66036426253419
4.739,-8.62439641023903
4.748,-8.59305794653353
4.757,-8.56626009102535
4.766,-8.54390113038774
4.775,-8.52586830394555
4.784,-8.51203961408527
4.793,-8.50228554503305
4.802,-8.49647067699757
4.811,-8.49445518602256
4.82,-8.49609622305103
4.829,-8.50124916860461
4.838,-8.50976876207632
4.847,-8.52151010689484
4.856,-8.53632955472827
4.865,-8.55408547345671
4.874,-8.57463890486817
4.883,-8.59785411894359
4.892,-8.6235990722223
4.901,-8.65174577811199
4.91,-8.68217059716203
4.919,-8.71475445529027
4.928,-8.74938299777578
4.937,-8.78594668653492
4.946,-8.82434084781349
4.955,-8.86446567698142
4.964,-8.90622620662783
4.973,-8.94953224364434
4.982,-8.99429828046742
4.991,-9.04044338513899
5,-9.08789107434831
