!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:22:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
500000000,-0.26075599,165.70853
504500000,-0.27427351,164.23987
509000000,-0.25065753,162.81534
513500000,-0.26830819,161.10591
518000000,-0.25147846,159.5894
522500000,-0.28613305,157.89893
527000000,-0.27402946,156.58269
531500000,-0.261455,155.15742
536000000,-0.26456326,153.44653
540500000,-0.30487242,151.99956
545000000,-0.32494467,150.35063
549500000,-0.2906943,148.73924
554000000,-0.27383539,147.21378
558500000,-0.30368415,145.67204
563000000,-0.29930004,144.15189
567500000,-0.31104612,142.4938
572000000,-0.32199469,141.14124
576500000,-0.32182339,139.45699
581000000,-0.31960133,138.08604
585500000,-0.28547302,136.27679
590000000,-0.31050375,134.82576
594500000,-0.32961836,133.4359
599000000,-0.32156545,131.82671
603500000,-0.32484171,130.31465
608000000,-0.32333124,128.82852
612500000,-0.33249792,127.30437
617000000,-0.32708538,126.05563
621500000,-0.30722114,124.69113
626000000,-0.33993375,123.08466
630500000,-0.32805243,121.7253
635000000,-0.31000674,120.24283
639500000,-0.32626992,118.62753
644000000,-0.35752848,117.33041
648500000,-0.34167361,115.86056
653000000,-0.35344839,114.34277
657500000,-0.35213631,112.61282
662000000,-0.34465393,111.40902
666500000,-0.36583501,109.88675
671000000,-0.37262866,108.25662
675500000,-0.32987019,106.71013
680000000,-0.39052927,105.22425
684500000,-0.35688707,103.79398
689000000,-0.35290048,102.38934
693500000,-0.38305885,100.77407
698000000,-0.36407691,99.197884
702500000,-0.37132269,97.976509
707000000,-0.33952892,96.645287
711500000,-0.34107277,95.186615
716000000,-0.32647189,93.803528
720500000,-0.36301026,92.321426
725000000,-0.36411226,90.949234
729500000,-0.36686012,89.514267
734000000,-0.37249717,88.258911
738500000,-0.3739678,86.673355
743000000,-0.35033908,85.483109
747500000,-0.41067693,83.795982
752000000,-0.40589929,82.331398
756500000,-0.38800532,80.991028
761000000,-0.37578681,79.365776
765500000,-0.39236799,77.960678
770000000,-0.37719074,76.473671
774500000,-0.45593038,74.871681
779000000,-0.42620906,73.653572
783500000,-0.33727157,71.896149
788000000,-0.43098927,70.157417
792500000,-0.39133283,69.097565
797000000,-0.37816113,67.368248
801500000,-0.45603728,65.807602
806000000,-0.39451,65.065147
810500000,-0.39427799,63.049026
815000000,-0.43907571,61.531693
819500000,-0.44316927,60.786655
824000000,-0.39782828,59.106415
828500000,-0.42361549,57.39843
833000000,-0.42968765,56.699963
837500000,-0.38455993,54.824493
842000000,-0.45781869,53.271584
846500000,-0.43494561,52.326794
851000000,-0.39286047,50.242466
855500000,-0.45801967,48.7896
860000000,-0.44628012,47.686085
864500000,-0.41610616,45.859406
869000000,-0.44909027,44.283348
873500000,-0.48461834,43.245079
878000000,-0.41843784,41.326782
882500000,-0.4792099,39.703957
887000000,-0.45036748,38.332798
891500000,-0.45792904,36.595814
896000000,-0.4773311,35.301834
900500000,-0.43660188,33.698006
905000000,-0.41525477,31.966215
909500000,-0.50087088,30.562365
914000000,-0.47775012,29.458788
918500000,-0.42952821,27.729206
923000000,-0.48310944,25.976095
927500000,-0.48409611,24.830366
932000000,-0.482265,23.038311
936500000,-0.48774651,21.491772
941000000,-0.48594818,20.02928
945500000,-0.47969809,18.357248
950000000,-0.50768012,16.73563
954500000,-0.51717114,15.208972
959000000,-0.51093328,13.398598
963500000,-0.54696065,11.479335
968000000,-0.56533539,9.638031
972500000,-0.52418679,7.7790213
977000000,-0.55691481,5.7950239
981500000,-0.57082719,3.9882264
986000000,-0.53608692,2.2399724
990500000,-0.60523236,0.15972809
995000000,-0.602718,-2.2246509
999500000,-0.63055056,-3.9789767
1004000000,-0.66007715,-6.1916528
1008500000,-0.68303639,-8.5902538
1013000000,-0.75679564,-10.720345
1017500000,-0.78724188,-13.041917
1022000000,-0.82685846,-15.462087
1026500000,-0.95851451,-18.192631
1031000000,-1.0239263,-20.493608
1035500000,-1.1079017,-23.795805
1040000000,-1.3189014,-26.86669
1044500000,-1.436264,-30.188662
1049000000,-1.6600714,-34.342148
1053500000,-2.0212526,-38.658062
1058000000,-2.4723926,-43.152763
1062500000,-3.0721254,-48.870178
