!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:18:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
500000000,-0.26206529,165.73457
504500000,-0.27055582,164.30849
509000000,-0.26051736,162.78732
513500000,-0.28303236,161.12202
518000000,-0.26627445,159.58492
522500000,-0.2766459,157.97525
527000000,-0.28568849,156.54622
531500000,-0.26817682,155.20488
536000000,-0.26396316,153.41003
540500000,-0.28857562,151.87227
545000000,-0.31167024,150.29507
549500000,-0.29938146,148.79855
554000000,-0.27453199,147.31445
558500000,-0.31149215,145.71236
563000000,-0.30345842,144.20287
567500000,-0.29320624,142.64207
572000000,-0.30275294,141.01416
576500000,-0.30933747,139.45494
581000000,-0.31166038,137.97823
585500000,-0.2985512,136.28685
590000000,-0.31191218,134.8476
594500000,-0.31696129,133.31242
599000000,-0.29869711,131.69104
603500000,-0.31692913,130.28934
608000000,-0.3542996,128.80919
612500000,-0.30021518,127.33733
617000000,-0.34370649,125.97337
621500000,-0.31431624,124.45654
626000000,-0.33450955,123.05145
630500000,-0.33542961,121.64108
635000000,-0.32415888,120.14636
639500000,-0.33770764,118.65423
644000000,-0.32516003,117.23523
648500000,-0.34194657,115.6604
653000000,-0.36780083,114.38115
657500000,-0.35356438,112.80878
662000000,-0.3352474,111.29689
666500000,-0.36801156,109.70655
671000000,-0.34758359,108.10268
675500000,-0.34706903,106.47433
680000000,-0.37862048,105.34132
684500000,-0.37613881,103.91827
689000000,-0.35544163,102.10397
693500000,-0.39708197,100.75328
698000000,-0.33652008,99.100586
702500000,-0.37542254,98.000008
707000000,-0.34280798,96.415833
711500000,-0.34802341,94.855713
716000000,-0.35133371,93.541801
720500000,-0.36065102,92.104256
725000000,-0.37701628,90.810219
729500000,-0.37854668,89.33252
734000000,-0.36662748,88.034401
738500000,-0.3925533,86.393913
743000000,-0.37803745,85.168877
747500000,-0.38980559,83.850388
752000000,-0.39867461,82.336792
756500000,-0.36534691,80.834869
761000000,-0.40263402,79.427887
765500000,-0.38712585,77.829765
770000000,-0.39379013,76.566635
774500000,-0.45616779,74.976036
779000000,-0.38200921,73.337395
783500000,-0.41663742,71.81974
788000000,-0.47237176,70.344231
792500000,-0.35829657,68.958252
797000000,-0.38331988,67.198608
801500000,-0.46697706,66.020294
806000000,-0.37422836,64.795448
810500000,-0.39544076,62.91124
815000000,-0.47380334,61.8759
819500000,-0.39291018,60.592331
824000000,-0.42318159,58.702164
828500000,-0.45657235,57.727066
833000000,-0.40660211,56.64986
837500000,-0.40966496,54.455345
842000000,-0.46297532,53.588024
846500000,-0.40780091,52.201069
851000000,-0.43532643,50.269356
855500000,-0.47712317,49.057499
860000000,-0.40304694,47.574028
864500000,-0.4304502,45.558907
869000000,-0.50217301,44.436005
873500000,-0.43660042,43.152489
878000000,-0.42903531,41.008465
882500000,-0.49370769,39.639729
887000000,-0.44078088,38.230141
891500000,-0.47325286,36.301056
896000000,-0.50463551,35.275131
900500000,-0.39613351,33.685532
905000000,-0.45680064,31.651667
909500000,-0.5007441,30.682224
914000000,-0.42481756,29.488918
918500000,-0.46050787,27.436066
923000000,-0.51871479,25.953638
927500000,-0.4519752,25.066174
932000000,-0.47457945,22.793001
936500000,-0.55742788,21.536943
941000000,-0.49241248,20.11755
945500000,-0.48380065,18.112759
950000000,-0.57092792,16.750076
954500000,-0.51493382,15.237451
959000000,-0.48021293,12.994416
963500000,-0.59366608,11.466192
968000000,-0.55376983,9.8003645
972500000,-0.52347803,7.6030688
977000000,-0.61396986,5.7672191
981500000,-0.54900253,4.2060466
986000000,-0.54724115,1.8393772
990500000,-0.62450635,-0.21749979
995000000,-0.59975982,-1.9035884
999500000,-0.61953747,-4.2910056
1004000000,-0.69281149,-6.4549508
1008500000,-0.66937637,-8.3435078
1013000000,-0.71348381,-10.998408
1017500000,-0.81737864,-13.160097
1022000000,-0.81898749,-15.327756
1026500000,-0.88672614,-18.189608
1031000000,-1.041411,-20.854984
1035500000,-1.1179794,-23.432123
1040000000,-1.2668473,-27.012497
1044500000,-1.4557391,-30.487322
1049000000,-1.6986326,-34.246109
1053500000,-2.000772,-38.707031
1058000000,-2.5079346,-43.375446
1062500000,-3.1544826,-48.389294
1067000000,-4.0112209,-53.679974
1071500000,-5.2766862,-58.767113
1076000000,-7.1744576,-62.827843
1080500000,-9.8860178,-61.666363
1085000000,-12.957705,-48.365635
1089500000,-13.992751,-18.649931
1094000000,-11.695613,2.2063251
1098500000,-9.1830864,8.4853792
1103000000,-7.323451,7.6752529
1107500000,-6.1644354,4.7581239
1112000000,-5.3607426,2.3129387
1116500000,-4.6560688,-0.38622552
1121000000,-4.187767,-3.457864
1125500000,-3.8306832,-5.393796
1130000000,-3.3871753,-7.4083023
1134500000,-2.8994241,-9.8509989
1139000000,-2.5537562,-14.923665
1143500000,-2.6219804,-17.400669
1148000000,-2.5186453,-19.619871
1152500000,-2.4724615,-21.77861
1157000000,-2.3425014,-23.813036
1161500000,-2.2640707,-26.543486
1166000000,-2.2587645,-28.661779
1170500000,-2.1595318,-30.638521
1175000000,-2.1250994,-33.167641
1179500000,-2.124979,-35.645428
1184000000,-2.1042697,-37.541752
1188500000,-2.0716436,-39.73632
1193000000,-2.1009712,-41.963318
1197500000,-2.133316,-43.899792
1202000000,-2.1630182,-46.063087
1206500000,-2.2146599,-47.989357
1211000000,-2.2865865,-49.413311
1215500000,-2.289757,-50.808846
1220000000,-2.2724638,-52.362625
1224500000,-2.2937107,-53.998917
1229000000,-2.2777429,-55.513912
1233500000,-2.2796998,-57.139889
1238000000,-2.3107502,-58.808346
1242500000,-2.2767389,-60.200863
1247000000,-2.3325417,-62.242859
1251500000,-2.3591118,-64.25251
1256000000,-2.4421065,-65.798637
1260500000,-2.5222363,-67.493744
1265000000,-2.6154609,-69.206833
1269500000,-2.6599219,-70.566582
1274000000,-2.674376,-72.438324
1278500000,-2.7445562,-74.409752
1283000000,-2.784941,-75.765747
1287500000,-2.8529282,-77.556099
1292000000,-2.9084806,-79.514572
1296500000,-3.0134475,-80.848259
1301000000,-3.0623972,-82.262131
1305500000,-3.1292021,-83.707146
1310000000,-3.154958,-84.730324
1314500000,-3.1462941,-86.203339
1319000000,-3.1860826,-87.749557
1323500000,-3.1742315,-88.568069
1328000000,-3.1643677,-89.959183
1332500000,-3.1927814,-91.54129
1337000000,-3.2423048,-92.983017
1341500000,-3.2024353,-94.563393
1346000000,-3.2442169,-96.482925
1350500000,-3.2796481,-97.44207
1355000000,-3.2644258,-99.226608
1359500000,-3.3429134,-101.2683
1364000000,-3.3467321,-102.92106
1368500000,-3.3416467,-104.87948
1373000000,-3.4189,-107.359
1377500000,-3.4135668,-109.08857
1382000000,-3.413065,-111.36225
1386500000,-3.5031536,-114.28759
1391000000,-3.6037591,-116.20224
1395500000,-3.582268,-118.67751
1400000000,-3.7262418,-121.59197
1404500000,-3.877156,-123.7029
1409000000,-3.9775422,-126.22904
1413500000,-4.2002225,-129.29128
1418000000,-4.5241694,-131.39522
1422500000,-4.7726755,-133.9856
1427000000,-5.3490453,-136.50343
1431500000,-6.2104478,-136.17532
1436000000,-6.6770244,-130.55405
1440500000,-6.0234976,-126.32603
1445000000,-5.3285489,-128.33694
1449500000,-5.0767484,-132.19749
1454000000,-5.1837673,-136.02722
1458500000,-5.3446441,-137.9698
1463000000,-5.4174385,-140.30139
1467500000,-5.5881257,-142.6573
1472000000,-5.7173586,-144.3007
1476500000,-5.7480302,-146.33121
1481000000,-5.8943338,-148.97363
1485500000,-6.0951924,-150.87051
1490000000,-6.0915651,-152.84299
1494500000,-6.2658348,-155.54767
1499000000,-6.3903069,-157.45348
1503500000,-6.5126925,-159.51337
1508000000,-6.6566768,-161.6996
1512500000,-6.7831903,-163.61552
1517000000,-6.9659557,-166.09215
1521500000,-7.1332626,-167.43999
1526000000,-7.2268419,-169.70895
1530500000,-7.4392214,-172.59177
1535000000,-7.6998482,-174.62268
1539500000,-7.916482,-177.11899
1544000000,-8.2763968,179.95418
1548500000,-8.6868105,177.63611
1553000000,-9.0107107,175.58121
1557500000,-9.411026,172.59113
1562000000,-9.9309397,170.13431
1566500000,-10.389716,167.54245
1571000000,-11.001887,164.44034
1575500000,-11.71319,161.84877
