"Freq [GHz]","dB(S(1,1)) []"
1.751,-10.3530957126304
1.76,-10.4267516795246
1.769,-10.502998114809
1.778,-10.581962389858
1.787,-10.6637783441022
1.796,-10.7485864465368
1.805,-10.8365339712692
1.814,-10.9277751885975
1.823,-11.0224715733272
1.832,-11.1207920322779
1.841,-11.222913153214
1.85,-11.3290194777527
1.859,-11.4393038011623
1.868,-11.5539675023601
1.877,-11.6732209078571
1.886,-11.7972836938702
1.895,-11.9263853313243
1.904,-12.0607655789972
1.913,-12.2006750305931
1.922,-12.3463757220622
1.931,-12.498141805969
1.94,-12.6562603001247
1.949,-12.8210319179683
1.958,-12.9927719882345
1.967,-13.1718114711576
1.976,-13.3584980776714
1.985,-13.5531974965429
1.994,-13.7562947317879
2.003,-13.9681955486143
2.012,-14.1893280198513
2.021,-14.4201441554439
2.03,-14.6611215837977
2.039,-14.9127652336773
2.048,-15.1756089363177
2.057,-15.4502168255539
2.066,-15.7371843535891
2.075,-16.0371386535341
2.084,-16.3507378555554
2.093,-16.6786687847288
2.102,-17.0216422115022
2.111,-17.380384455428
2.12,-17.7556236101426
2.129,-18.1480678926585
2.138,-18.5583725266628
2.147,-18.987090019902
2.156,-19.4345965323419
2.165,-19.9009840888111
2.174,-20.3859045642732
2.183,-20.8883468038498
2.192,-21.4063237319038
2.201,-21.9364441467549
2.21,-22.4733493762811
2.219,-23.0090185434428
2.228,-23.5320051917859
2.237,-24.026783371792
2.246,-24.4735586449596
2.255,-24.8490819496217
2.264,-25.1290112416495
2.273,-25.2919198968415
2.282,-25.3240622063689
2.291,-25.2230136655182
2.3,-24.9983479450543
2.309,-24.6689776945846
2.318,-24.2585701953968
2.327,-23.7910772073867
2.336,-23.2877056867486
2.345,-22.7655599180268
2.354,-22.2375146923971
2.363,-21.7127435442559
2.372,-21.1974700686328
2.381,-20.6957020345599
2.39,-20.2098486723812
2.399,-19.7411999605741
2.408,-19.2902815682241
2.417,-18.8571099763207
2.426,-18.4413722352477
2.435,-18.042550821366
2.444,-17.6600093601313
2.453,-17.2930508314897
2.462,-16.9409565941374
2.471,-16.603012119491
2.48,-16.2785235596511
2.489,-15.9668280211488
2.498,-15.6672995377172
2.507,-15.3793521226927
2.516,-15.102440855686
2.525,-14.8360616622928
2.534,-14.5797502401352
2.543,-14.3330804417609
2.552,-14.0956623257367
2.561,-13.8671400183803
2.57,-13.6471894808255
2.579,-13.4355162431486
2.588,-13.2318531446906
2.597,-13.0359581044223
2.606,-12.8476119350713
2.615,-12.6666162082524
2.624,-12.492791173958
2.633,-12.3259737357134
2.642,-12.166015481936
2.651,-12.012780774167
2.66,-11.8661448935612
2.669,-11.7259922481102
2.678,-11.5922146443493
2.687,-11.4647096286169
2.696,-11.3433789041853
2.705,-11.2281268316562
2.714,-11.1188590208387
2.723,-11.0154810228418
2.732,-10.9178971312578
2.741,-10.8260093010806
2.75,-10.7397161933559
2.759,-10.6589123525371
2.768,-10.583487522122
2.777,-10.5133261024354
