"Freq [GHz]","dB(S(1,1)) []"
1.625,-10.8597873894775
1.634,-10.795373187349
1.643,-10.741913108354
1.652,-10.6988393493872
1.661,-10.6656500570042
1.67,-10.6419018539356
1.679,-10.6272034807979
1.688,-10.6212103684254
1.697,-10.6236199919846
1.706,-10.6341678861775
1.715,-10.6526242231775
1.724,-10.6787908728161
1.733,-10.7124988789451
1.742,-10.7536062976113
1.751,-10.8019963522748
1.76,-10.8575758692341
1.769,-10.920273963046
1.778,-10.9900409473125
1.787,-11.0668474509856
1.796,-11.1506837244809
1.805,-11.2415591235419
1.814,-11.3395017620851
1.823,-11.4445583282742
1.832,-11.5567940609282
1.841,-11.6762928861301
1.85,-11.8031577166622
1.859,-11.9375109197256
1.868,-12.0794949613822
1.877,-12.2292732393875
1.886,-12.3870311196474
1.895,-12.5529771955512
1.904,-12.7273447940421
1.913,-12.9103937576372
1.922,-13.1024125379037
1.931,-13.3037206433696
1.94,-13.5146714937943
1.949,-13.7356557435221
1.958,-13.9671051497486
1.967,-14.209497077541
1.976,-14.4633597531221
1.985,-14.7292784011934
1.994,-15.0079024321644
2.003,-15.2999538826115
2.012,-15.6062373590822
2.021,-15.9276517939873
2.03,-16.2652043958957
2.039,-16.6200272689318
2.048,-16.9933972917286
2.057,-17.3867599906709
2.066,-17.8017583199914
2.075,-18.240267475896
2.084,-18.7044371207975
2.093,-19.1967426599499
2.102,-19.7200474458681
2.111,-20.2776778609601
2.12,-20.8735128572859
2.129,-21.5120880667594
2.138,-22.1987105938946
2.147,-22.9395708457812
2.156,-23.741814972735
2.165,-24.613489084873
2.174,-25.5631461068424
2.183,-26.5986301889324
2.192,-27.7239295950453
2.201,-28.9316598639649
2.21,-30.1864422701469
2.219,-31.3934067389019
2.228,-32.3603322159121
2.237,-32.8193337818866
2.246,-32.5998866004156
2.255,-31.8011639603622
2.264,-30.6867524592699
2.273,-29.4791160384373
2.282,-28.2984828065091
2.291,-27.1937100261373
2.3,-26.1780927843366
2.309,-25.249885763512
2.318,-24.401889558813
2.327,-23.6255457402165
2.336,-22.9125637728334
2.345,-22.2554870289815
2.354,-21.6478179245297
2.363,-21.0839704103252
2.372,-20.5591643877214
2.381,-20.0693096868707
2.39,-19.6108981107657
2.399,-19.1809094886897
2.408,-18.776732442508
2.417,-18.3960985605691
2.426,-18.037028071772
2.435,-17.6977850968694
2.444,-17.3768407586153
2.453,-17.0728426963194
2.462,-16.7845897871183
2.471,-16.5110111016335
2.48,-16.2511483101293
2.489,-16.0041409089051
2.498,-15.769213760222
2.507,-15.5456665377512
2.516,-15.3328647481514
2.525,-15.1302320619653
2.534,-14.9372437369302
2.543,-14.7534209566661
2.552,-14.5783259396663
2.561,-14.411557699213
2.57,-14.2527483555956
2.579,-14.1015599188201
2.588,-13.9576814736844
2.597,-13.8208267102737
2.606,-13.6907317520989
2.615,-13.5671532416545
2.624,-13.4498666494191
2.633,-13.3386647775018
2.642,-13.2333564334636
2.651,-13.1337652534526
2.66,-13.0397286568284
2.669,-12.9510969170116
2.678,-12.867732335456
2.687,-12.7895085074819
2.696,-12.716309670279
2.705,-12.6480301247273
2.714,-12.584573723844
2.723,-12.525853421658
2.732,-12.4717908771856
2.741,-12.4223161089342
2.75,-12.377367196028
2.759,-12.3368900226369
2.768,-12.3008380629136
2.777,-12.2691722041184
2.786,-12.2418606060344
2.795,-12.2188785951732
2.804,-12.2002085926344
2.813,-12.1858400748291
2.822,-12.1757695666043
2.831,-12.1700006666303
2.84,-12.1685441052274
2.849,-12.1714178351293
2.858,-12.1786471560077
2.867,-12.1902648739213
2.876,-12.2063114972134
2.885,-12.2268354707639
2.894,-12.2518934509223
2.903,-12.281550623904
2.912,-12.3158810709398
2.921,-12.3549681840396
2.93,-12.3989051368698
2.939,-12.447795415974
2.948,-12.5017534184
2.957,-12.560905122752
2.966,-12.6253888417971
2.975,-12.6953560660369
2.984,-12.770972409157
2.993,-12.8524186680214
3.002,-12.9398920119452
3.011,-13.0336073184139
3.02,-13.13379867531
3.029,-13.2407210731419
3.038,-13.354652314875
3.047,-13.4758951758856
3.056,-13.604779852478
3.065,-13.7416667445589
3.074,-13.8869496267379
3.083,-14.0410592726845
3.092,-14.2044676104869
3.101,-14.3776925026009
3.11,-14.5613032635064
3.119,-14.7559270523332
3.128,-14.962256307694
3.137,-15.1810574292944
3.146,-15.4131809575184
3.155,-15.6595735605602
3.164,-15.9212922118276
3.173,-16.1995210319817
3.182,-16.4955913844408
3.191,-16.811005955163
3.2,-17.14746772132
3.209,-17.5069149209726
3.218,-17.8915633721621
3.227,-18.3039577335679
3.236,-18.7470334914941
3.245,-19.2241914591213
3.254,-19.7393860656216
3.263,-20.2972269892278
3.272,-20.9030891917122
3.281,-21.5632156840305
3.29,-22.2847726367018
3.299,-23.0757601319934
3.308,-23.9445536630918
3.317,-24.8985601573199
3.326,-25.9408220079502
3.335,-27.0620491831664
3.344,-28.2233543719973
3.353,-29.3246283938963
3.362,-30.1699148278245
3.371,-30.4984625999483
3.38,-30.1603762073879
3.389,-29.2683289816956
3.398,-28.0806349639723
3.407,-26.8091010262883
3.416,-25.5673952107296
3.425,-24.4017880417683
3.434,-23.3249383994162
3.443,-22.3351977434219
3.452,-21.4256789875875
3.461,-20.5881628551458
3.47,-19.8146654743313
3.479,-19.0979916753855
3.488,-18.4318625915763
3.497,-17.810874459027
3.506,-17.2303993744572
3.515,-16.6864745760189
3.524,-16.1756986230474
3.533,-15.6951405795533
3.542,-15.2422631211493
3.551,-14.8148584563064
3.56,-14.4109953124515
3.569,-14.028975184993
3.578,-13.6672962214554
3.587,-13.3246233532864
3.596,-12.9997635268856
3.605,-12.6916450975092
3.614,-12.3993006282716
3.623,-12.1218524827005
3.632,-11.8585007173025
3.641,-11.6085128750869
3.65,-11.3712153563986
3.659,-11.145986103561
3.668,-10.9322483838626
3.677,-10.7294654938862
3.686,-10.5371362390819
3.695,-10.3547910674286
3.704,-10.1819887562443
3.713,-10.0183135676839
3.722,-9.86337280196733
3.731,-9.71679468850048
3.74,-9.57822656427169
3.749,-9.44733329658755
3.758,-9.32379591364406
3.767,-9.20731041184966
3.776,-9.09758671339994
3.785,-8.99434775149928
3.794,-8.89732866394692
3.803,-8.80627607864593
3.812,-8.72094747703088
3.821,-8.64111062350202
3.83,-8.56654305075382
3.839,-8.49703159243303
3.848,-8.43237195589193
3.857,-8.37236832894601
3.866,-8.31683301552477
3.875,-8.26558609594415
3.884,-8.21845510824466
3.893,-8.17527474764884
3.902,-8.13588658170808
3.911,-8.10013877914467
3.92,-8.06788585076144
3.929,-8.03898840109701
3.938,-8.01331288975898
3.947,-7.99073140157704
3.956,-7.97112142488972
3.965,-7.95436563741761
3.974,-7.94035169928843
3.983,-7.92897205286789
3.992,-7.92012372912079
4.001,-7.91370816028016
4.01,-7.90963099864384
4.019,-7.90780194134752
4.028,-7.90813456098527
4.037,-7.91054614196299
4.046,-7.91495752247983
4.055,-7.92129294203743
4.064,-7.92947989437905
4.073,-7.93944898576023
4.082,-7.95113379845053
4.091,-7.96447075936322
4.1,-7.97939901370555
4.109,-7.99586030353905
4.118,-8.01379885113455
4.127,-8.03316124700343
4.136,-8.05389634248309
4.145,-8.07595514675123
4.154,-8.09929072814177
4.163,-8.12385811963259
4.172,-8.14961422837443
4.181,-8.17651774912906
4.19,-8.20452908148505
4.199,-8.23361025071904
4.208,-8.26372483217184
4.217,-8.29483787900916
4.226,-8.32691585323892
4.235,-8.35992655985856
4.244,-8.39383908400825
4.253,-8.42862373100827
4.262,-8.46425196916157
4.271,-8.50069637520564
4.28,-8.53793058230055
4.289,-8.57592923044366
4.298,-8.61466791920437
4.307,-8.65412316267624
4.316,-8.69427234654658
4.325,-8.73509368718756
4.334,-8.77656619267642
4.343,-8.81866962565501
4.352,-8.8613844679436
4.361,-8.90469188682608
4.37,-8.94857370292759
4.379,-8.99301235960898
4.388,-9.0379908938052
4.397,-9.08349290823837
4.406,-9.12950254493888
4.415,-9.17600446001118
4.424,-9.22298379958334
4.433,-9.27042617688273
4.442,-9.31831765038247
4.451,-9.36664470296585
4.46,-9.41539422205874
4.469,-9.46455348068207
4.478,-9.51411011937884
4.487,-9.56405212897233
4.496,-9.61436783411441
4.505,-9.66504587758455
4.514,-9.71607520530251
4.523,-9.76744505201905
4.532,-9.81914492765123
4.541,-9.87116460423019
4.55,-9.9234941034311
4.559,-9.97612368465662
4.568,-10.0290438336463
4.577,-10.0822452515862
4.586,-10.1357188446938
4.595,-10.1894557142557
4.604,-10.2434471470947
4.613,-10.2976846064463
4.622,-10.3521597232249
4.631,-10.4068642876595
4.64,-10.4617902412833
4.649,-10.5169296692578
4.658,-10.5722747930177
4.667,-10.6278179632199
4.676,-10.6835516529833
4.685,-10.7394684514053
4.694,-10.7955610573422
4.703,-10.8518222734426
4.712,-10.9082450004202
4.721,-10.9648222315571
4.73,-11.0215470474274
4.739,-11.0784126108301
4.748,-11.1354121619234
4.757,-11.1925390135521
4.766,-11.2497865467589
4.775,-11.3071482064739
4.784,-11.3646174973728
4.793,-11.4221879798999
4.802,-11.4798532664472
4.811,-11.5376070176856
4.82,-11.5954429390416
4.829,-11.653354777315
4.838,-11.7113363174323
4.847,-11.7693813793323
4.856,-11.8274838149784
4.865,-11.8856375054954
4.874,-11.9438363584254
4.883,-12.0020743051011
4.892,-12.0603452981327
4.901,-12.118643309006
4.91,-12.1769623257881
4.919,-12.2352963509401
4.928,-12.2936393992334
4.937,-12.3519854957676
4.946,-12.4103286740891
4.955,-12.4686629744088
4.964,-12.5269824419161
4.973,-12.5852811251899
4.982,-12.6435530747045
4.991,-12.7017923414292
5,-12.7599929755219
