"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0357366991105132
0.509,-0.0367884526376778
0.518,-0.0379203427797114
0.527,-0.039138664993944
0.536,-0.040449891071489
0.545,-0.0418606946312518
0.554,-0.0433779774891233
0.563,-0.0450088971234672
0.572,-0.0467608954559245
0.581,-0.0486417291668441
0.59,-0.0506595017669469
0.599,-0.052822697650978
0.608,-0.0551402183648879
0.617,-0.0576214213253597
0.626,-0.0602761612393298
0.635,-0.0631148344807811
0.644,-0.066148426693384
0.653,-0.0693885638992728
0.662,-0.0728475674071713
0.671,-0.0765385128263315
0.68,-0.0804752935067452
0.689,-0.0846726887399731
0.698,-0.0891464370690505
0.707,-0.093913315069503
0.716,-0.0989912219764024
0.725,-0.10439927054407
0.734,-0.11015788453496
0.743,-0.116288903241895
0.752,-0.122815693452229
0.761,-0.129763269263047
0.77,-0.137158420151918
0.779,-0.145029847697061
0.788,-0.153408311322343
0.797,-0.162326783415081
0.806,-0.17182061412603
0.815,-0.181927706109382
0.824,-0.192688699393496
0.833,-0.204147166488031
0.842,-0.216349817727106
0.851,-0.229346716717798
0.86,-0.243191505605503
0.869,-0.25794163967828
0.878,-0.273658630607616
0.887,-0.290408297358828
0.896,-0.308261023496615
0.905,-0.327292019255553
0.914,-0.347581586338638
0.923,-0.369215382945132
0.932,-0.392284686010486
0.941,-0.416886647064038
0.95,-0.443124537475449
0.959,-0.471107978171094
0.968,-0.500953148161964
0.977,-0.532782965444356
0.986,-0.566727233026965
0.995,-0.602922742020516
1.004,-0.641513322923483
1.013,-0.682649835479159
1.022,-0.726490086803239
1.031,-0.773198666930902
1.04,-0.822946690560013
1.049,-0.875911433630027
1.058,-0.932275853537528
1.067,-0.992227982315508
1.076,-1.05596018306072
1.085,-1.1236682613442
1.094,-1.19555042533911
1.103,-1.27180609098633
1.112,-1.3526345317114
1.121,-1.43823337599767
1.13,-1.52879696046655
1.139,-1.62451455093581
1.148,-1.72556844909442
1.157,-1.83213200777723
1.166,-1.94436758313366
1.175,-2.06242445701221
1.184,-2.18643676735379
1.193,-2.31652148801839
1.202,-2.45277650198571
1.211,-2.59527881302679
1.22,-2.7440829405469
1.229,-2.89921954022785
1.238,-3.06069428932039
1.247,-3.2284870700187
1.256,-3.40255147745928
1.265,-3.58281467078919
1.274,-3.76917757678579
1.283,-3.96151544608482
1.292,-4.15967875261144
1.301,-4.36349441773674
1.31,-4.57276733239021
1.319,-4.78728214317456
1.328,-5.00680526270044
1.337,-5.23108706003336
1.346,-5.45986418437632
1.355,-5.69286197385328
1.364,-5.9297969013892
1.373,-6.17037901100745
1.382,-6.41431430015827
1.391,-6.66130700669494
1.4,-6.91106176257581
1.409,-7.16328558005198
1.418,-7.41768963979385
1.427,-7.67399085394788
1.436,-7.9319131803679
1.445,-8.19118866715394
1.454,-8.45155820911084
1.463,-8.71277199980488
1.472,-8.97458966457411
1.481,-9.236780061191
1.49,-9.49912073595657
1.499,-9.76139702392279
1.508,-10.0234007828084
1.517,-10.2849287511354
1.526,-10.5457805223402
1.535,-10.8057561283184
1.544,-11.0646532282991
1.553,-11.3222639024489
1.562,-11.5783710545635
1.571,-11.8327444351148
1.58,-12.0851363053512
1.589,-12.3352767757805
1.598,-12.5828688689336
1.607,-12.8275833775981
1.616,-13.0690536164711
1.625,-13.3068701980021
1.634,-13.5405760023614
1.643,-13.7696615567054
1.652,-13.9935610890969
1.661,-14.2116495752336
1.67,-14.4232411476161
1.679,-14.6275892810655
1.688,-14.823889197536
1.697,-15.0112829368731
1.706,-15.188867506953
1.715,-15.3557064446827
1.724,-15.5108449786362
1.733,-15.6533287792915
1.742,-15.7822260164462
1.751,-15.8966521290227
1.76,-15.9957963766084
1.769,-16.0789489237648
1.778,-16.145526955198
1.787,-16.1950981816402
1.796,-16.2274001135504
1.805,-16.2423536741397
1.814,-16.2400700890722
1.823,-16.2208504916412
1.832,-16.1851782576798
1.841,-16.1337046576636
1.85,-16.0672289085908
1.859,-15.9866740649431
1.868,-15.8930603722188
1.877,-15.7874777142331
1.886,-15.6710586396224
1.895,-15.5449531953859
1.904,-15.4103064753287
1.913,-15.2682394564386
1.922,-15.1198333848892
1.931,-14.9661177112541
1.94,-14.808061374491
1.949,-14.6465670983039
1.958,-14.482468285873
1.967,-14.3165280694583
1.976,-14.1494400781662
1.985,-13.9818305186612
1.994,-13.814261209807
2.003,-13.6472332651821
2.012,-13.4811911713575
2.021,-13.3165270608774
2.03,-13.1535850247752
2.039,-12.9926653490875
2.048,-12.8340285929466
2.057,-12.6778994527222
2.066,-12.5244703779445
2.075,-12.3739049211076
2.084,-12.2263408157168
2.093,-12.0818927858405
2.102,-11.9406550966379
2.111,-11.802703859439
2.12,-11.6680991074527
2.129,-11.5368866594633
2.138,-11.4090997892867
2.147,-11.2847607185363
2.156,-11.1638819496031
2.165,-11.0464674548315
2.174,-10.932513736785
2.183,-10.8220107733283
2.192,-10.7149428600659
2.201,-10.6112893615082
2.21,-10.5110253812132
2.219,-10.4141223601035
2.228,-10.3205486111723
2.237,-10.2302697978988
2.246,-10.1432493628706
2.255,-10.0594489123768
2.264,-9.97882856206625
2.273,-9.9013472481768
2.282,-9.82696300831279
2.291,-9.7556332352802
2.3,-9.68731490707746
2.309,-9.62196479577634
2.318,-9.55953965770903
2.327,-9.49999640709798
2.336,-9.4432922750219
2.345,-9.38938495539874
2.354,-9.33823273948189
2.363,-9.28979464020616
2.372,-9.24403050758131
2.381,-9.20090113621209
2.39,-9.16036836592102
2.399,-9.1223951763626
2.408,-9.08694577644289
2.417,-9.05398568929536
2.426,-9.02348183351072
2.435,-8.99540260127456
2.444,-8.96971793403044
2.453,-8.94639939625712
2.462,-8.92542024792637
2.471,-8.906755516191
2.48,-8.89038206684143
2.489,-8.87627867606323
2.498,-8.86442610302618
2.507,-8.85480716383869
2.516,-8.84740680740873
2.525,-8.84221219376423
2.534,-8.83921277540236
2.543,-8.83840038225734
2.552,-8.83976931090269
2.561,-8.84331641863339
2.57,-8.84904122310978
2.579,-8.85694600828611
2.588,-8.86703593739467
2.597,-8.87931917381026
2.606,-8.89380701068268
2.615,-8.91051401029437
2.624,-8.92945815418089
2.633,-8.95066100514132
2.642,-8.97414788236829
2.651,-8.99994805104201
2.66,-9.02809492786337
2.669,-9.05862630414802
2.678,-9.09158458827061
2.687,-9.12701706943698
2.696,-9.1649762049766
2.705,-9.20551993359144
2.714,-9.24871201727436
2.723,-9.29462241492695
2.732,-9.34332769106749
2.741,-9.39491146343403
2.75,-9.44946489376207
2.759,-9.50708722656303
2.768,-9.56788638135986
2.777,-9.63197960456542
2.786,-9.69949418803493
2.795,-9.77056826230882
2.804,-9.84535167371107
2.813,-9.9240069558154
2.822,-10.0067104073744
2.831,-10.0936532906752
2.84,-10.1850431664997
2.849,-10.281105384499
2.858,-10.3820847509398
2.867,-10.4882473995546
2.876,-10.5998828957812
2.885,-10.7173066101895
2.894,-10.8408624036157
2.903,-10.9709256747398
2.912,-11.107906830975
2.921,-11.2522552560692
2.93,-11.4044638634462
2.939,-11.5650743439067
2.948,-11.7346832410506
2.957,-11.9139490192452
2.966,-12.1036003292825
2.975,-12.3044457289522
2.984,-12.5173851836038
2.993,-12.7434237609729
3.002,-12.9836880529551
3.011,-13.2394460158319
3.02,-13.512131135875
3.029,-13.8033721229847
3.038,-14.1150297463372
3.047,-14.4492430062566
3.056,-14.8084876678721
3.065,-15.1956513936088
3.074,-15.6141315103846
3.083,-16.0679641742041
3.092,-16.5619979248587
3.101,-17.1021313571822
3.11,-17.6956456719363
3.119,-18.3516815685955
3.128,-19.0819428535954
