"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0409598216586401
0.509,-0.0424888506147542
0.518,-0.0440991157178437
0.527,-0.0457965163504139
0.536,-0.0475874415568297
0.545,-0.0494788116521771
0.554,-0.0514781237846263
0.563,-0.0535935018651042
0.572,-0.0558337513245178
0.581,-0.0582084192105698
0.59,-0.0607278601945644
0.599,-0.0634033091237187
0.608,-0.0662469608278813
0.617,-0.0692720579716804
0.626,-0.0724929878356157
0.635,-0.0759253890134177
0.644,-0.0795862691297959
0.653,-0.0834941348140819
0.662,-0.0876691353131425
0.671,-0.0921332212932675
0.68,-0.096910320568374
0.689,-0.102026532702548
0.698,-0.107510344672929
0.707,-0.113392870046281
0.716,-0.119708114424128
0.725,-0.126493270250194
0.734,-0.13378904445577
0.743,-0.141640022847206
0.752,-0.150095075621936
0.761,-0.15920780894
0.77,-0.169037068083977
0.779,-0.179647498418211
0.788,-0.191110171114816
0.797,-0.203503281456668
0.806,-0.216912928462995
0.815,-0.231433985617583
0.824,-0.24717107361859
0.833,-0.264239647315747
0.842,-0.282767210356585
0.851,-0.30289467252551
0.86,-0.324777866319954
0.869,-0.348589240951288
0.878,-0.374519753660032
0.887,-0.402780979957859
0.896,-0.43360746609948
0.905,-0.467259348672872
0.914,-0.504025267577927
0.923,-0.544225599714775
0.932,-0.588216041261888
0.941,-0.636391566292255
0.95,-0.68919078841507
0.959,-0.74710074986634
0.968,-0.810662158703056
0.977,-0.880475089173938
0.986,-0.957205152665504
0.995,-1.04159013666466
1.004,-1.13444709692317
1.013,-1.23667987375129
1.022,-1.34928698788947
1.031,-1.47336985622529
1.04,-1.61014125528569
1.049,-1.76093395489813
1.058,-1.92720945144878
1.067,-2.11056675779531
1.076,-2.31275126579419
1.085,-2.53566380123435
1.094,-2.78137015656726
1.103,-3.05211163428847
1.112,-3.35031748664812
1.121,-3.67862062293831
1.13,-4.03987860687203
1.139,-4.43720282608489
1.148,-4.87399984414693
1.157,-5.3540304370326
1.166,-5.88149382618772
1.175,-6.46114741064029
1.184,-7.09847631032972
1.193,-7.79993299029073
1.202,-8.57327632174836
1.211,-9.42805349429156
1.22,-10.3762898496847
1.229,-11.4334837316746
1.238,-12.6200443704317
1.247,-13.9633340848823
1.256,-15.5003363922768
1.265,-17.2799748579764
1.274,-19.3589387415686
1.283,-21.7596261595926
1.292,-24.2536829402792
