"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0340836969149346
0.509,-0.0354355322769595
0.518,-0.0368575908129615
0.527,-0.0383541178917262
0.536,-0.0399296578218611
0.545,-0.0415890757380668
0.554,-0.0433375811072804
0.563,-0.0451807529707615
0.572,-0.0471245670458044
0.581,-0.0491754248186102
0.59,-0.0513401847681375
0.599,-0.0536261958692478
0.608,-0.056041333532251
0.617,-0.0585940381450012
0.626,-0.0612933563929304
0.635,-0.0641489855415947
0.644,-0.0671713208758376
0.653,-0.0703715064985962
0.662,-0.0737614897016714
0.671,-0.0773540791290696
0.68,-0.0811630069617034
0.689,-0.0852029953592341
0.698,-0.0894898274009363
0.707,-0.0940404227718882
0.716,-0.0988729184436262
0.725,-0.1040067545986
0.734,-0.109462766045503
0.743,-0.115263279366431
0.752,-0.121432216026902
0.761,-0.127995201664637
0.77,-0.134979681752154
0.779,-0.142415043800364
0.788,-0.15033274623455
0.797,-0.158766454028873
0.806,-0.1677521811296
0.815,-0.177328439629002
0.824,-0.187536395569543
0.833,-0.19842003115999
0.842,-0.210026313069215
0.851,-0.222405366327879
0.86,-0.235610653211028
0.869,-0.249699156293452
0.878,-0.264731564662761
0.887,-0.280772462040947
0.896,-0.29789051530155
0.905,-0.316158661576172
0.914,-0.335654291819786
0.923,-0.356459428349697
0.932,-0.378660893489515
0.941,-0.402350466039076
0.95,-0.427625021858988
0.959,-0.454586654409327
0.968,-0.48334277062505
0.977,-0.5140061570561
0.986,-0.546695010761907
0.995,-0.581532929044295
1.004,-0.618648851750145
1.013,-0.658176949597976
1.022,-0.700256451808248
1.031,-0.745031406273666
1.04,-0.792650365625567
1.049,-0.843265992867579
1.058,-0.897034580790544
1.067,-0.954115480184578
1.076,-1.01467043295095
1.085,-1.07886280760948
1.094,-1.14685673640661
1.103,-1.21881615525511
1.112,-1.29490375006222
1.121,-1.37527981559512
1.13,-1.46010103583924
1.139,-1.54951919775063
1.148,-1.64367985329602
1.157,-1.74272094759888
1.166,-1.84677143373919
1.175,-1.95594989714883
1.184,-2.07036321446233
1.193,-2.1901052729856
1.202,-2.31525577751129
1.211,-2.44587917093823
1.22,-2.58202369397898
1.229,-2.7237206071368
1.238,-2.87098359512345
1.247,-3.02380837003757
1.256,-3.18217248504811
1.265,-3.34603536518175
1.274,-3.51533855628949
1.283,-3.69000618757562
1.292,-3.86994563743281
1.301,-4.05504838695416
1.31,-4.24519104058271
1.319,-4.44023648907658
1.328,-4.64003518643752
1.337,-4.84442650975408
1.346,-5.05324016907957
1.355,-5.26629763348568
1.364,-5.48341353925278
1.373,-5.70439704668759
1.382,-5.92905311318655
1.391,-6.15718365176062
1.4,-6.38858854616999
1.409,-6.62306649595738
1.418,-6.86041566689501
1.427,-7.10043412457657
1.436,-7.34292003101167
1.445,-7.58767158607011
1.454,-7.83448669745947
1.463,-8.08316236461736
1.472,-8.3334937635152
1.481,-8.58527302099768
1.49,-8.83828766905845
1.499,-9.09231877156997
1.508,-9.34713871868291
1.517,-9.602508687695
1.526,-9.85817577403075
1.535,-10.1138698025106
1.544,-10.3692998378332
1.553,-10.6241504247145
1.562,-10.8780776030398
1.571,-11.1307047622932
1.58,-11.3816184230025
1.589,-11.6303640613519
1.598,-11.8764421265906
1.607,-12.1193044390033
1.616,-12.3583511979245
1.625,-12.5929288724888
1.634,-12.822329289162
1.643,-13.0457902647567
1.652,-13.2624981551128
1.661,-13.4715926899476
1.67,-13.6721744345392
1.679,-13.863315149851
1.688,-14.0440712068732
1.697,-14.2135000444031
1.706,-14.3706794442466
1.715,-14.5147291442318
1.724,-14.644834037479
1.733,-14.7602679455795
1.742,-14.8604167401191
1.751,-14.9447994595764
1.76,-15.0130860599259
1.769,-15.0651105669358
1.778,-15.1008786661736
1.787,-15.1205691504715
1.796,-15.1245291008094
1.805,-15.1132631484299
1.814,-15.0874175937232
1.823,-15.0477604895857
1.832,-14.9951589996898
1.841,-14.9305554037768
1.85,-14.8549430528204
1.859,-14.7693434037237
1.868,-14.6747850225387
1.877,-14.5722851752066
1.886,-14.4628343590536
1.895,-14.3473838918218
1.904,-14.2268364831023
1.913,-14.1020395717274
1.922,-13.9737811208254
1.931,-13.8427875138383
1.94,-13.7097231813463
1.949,-13.5751916008341
1.958,-13.4397373409614
1.967,-13.3038488611702
1.976,-13.1679618208797
1.985,-13.0324626959771
1.994,-12.8976925410875
2.003,-12.7639507726332
2.012,-12.6314988792169
2.021,-12.500563992271
2.03,-12.3713422714256
2.039,-12.2440020761559
2.048,-12.1186869085268
2.057,-11.9955181218703
2.066,-11.8745973975804
2.075,-11.7560089974057
2.084,-11.6398218021272
2.093,-11.5260911496975
2.102,-11.4148604871253
2.111,-11.3061628508508
2.12,-11.2000221902979
2.129,-11.0964545488591
2.138,-10.9954691158893
2.147,-10.8970691624583
2.156,-10.8012528726976
2.165,-10.708014081636
2.174,-10.6173429294753
2.183,-10.5292264413472
2.192,-10.4436490407252
2.201,-10.3605930038513
2.21,-10.280038861786
2.219,-10.2019657559962
2.228,-10.1263517527682
2.237,-10.0531741211574
2.246,-9.98240957867633
2.255,-9.91403450845482
2.264,-9.8480251511947
2.273,-9.78435777487092
2.282,-9.72300882480071
2.291,-9.66395505641029
2.3,-9.60717365276818
2.309,-9.55264232872413
2.318,-9.50033942328844
2.327,-9.45024398170681
2.336,-9.40233582852576
2.345,-9.3565956328044
2.354,-9.31300496650356
2.363,-9.27154635697499
2.372,-9.23220333437727
2.381,-9.19496047476119
2.39,-9.15980343949334
2.399,-9.12671901162247
2.408,-9.09569512973665
2.417,-9.06672091981051
2.426,-9.03978672549935
2.435,-9.01488413730025
2.444,-8.99200602096933
2.453,-8.97114654555747
2.462,-8.95230121140494
2.471,-8.93546687841662
2.48,-8.92064179492561
2.489,-8.90782562744065
2.498,-8.89701949156558
2.507,-8.88822598437303
2.516,-8.88144921851235
2.525,-8.87669485833182
2.534,-8.87397015829806
2.543,-8.87328400400076
2.552,-8.87464695603876
2.561,-8.87807129709424
2.57,-8.88357108251459
2.579,-8.89116219473773
2.588,-8.90086240191558
2.597,-8.91269142111178
2.606,-8.92667098647571
2.615,-8.94282492282288
2.624,-8.96117922508498
2.633,-8.98176214412913
2.642,-9.00460427948792
2.651,-9.0297386795879
2.66,-9.05720095011684
2.669,-9.08702937122865
2.678,-9.11926502435078
2.687,-9.15395192943254
2.696,-9.19113719355616
2.705,-9.2308711719252
2.714,-9.27320764235004
2.723,-9.31820399446817
2.732,-9.36592143507044
2.741,-9.41642521105448
2.75,-9.46978485169763
2.759,-9.52607443213417
2.768,-9.58537286014179
2.777,-9.64776418859158
2.786,-9.71333795620154
2.795,-9.78218955955929
2.804,-9.85442065975364
2.813,-9.9301396273844
2.822,-10.0094620302143
2.831,-10.0925111682992
2.84,-10.1794186620937
2.849,-10.2703250998001
2.858,-10.3653807511235
2.867,-10.4647463556423
