"Freq [GHz]","dB(S(1,1)) []"
1.445,-14.7195934816652
1.454,-14.1487287173624
1.463,-13.6450933667154
1.472,-13.1984738698173
1.481,-12.8008050715476
1.49,-12.4456128774446
1.499,-12.1276265393643
1.508,-11.8425023514787
1.517,-11.5866224969243
1.526,-11.356945804229
1.535,-11.1508951292373
1.544,-10.9662710760796
1.553,-10.8011849886498
1.562,-10.6540062628409
1.571,-10.5233204535236
1.58,-10.4078956248448
1.589,-10.3066550709685
1.598,-10.2186550142361
1.607,-10.1430662319712
1.616,-10.0791588134195
1.625,-10.0262894325127
1.634,-9.98389065928091
1.643,-9.95146193593005
1.652,-9.9285619220335
1.661,-9.91480197346586
1.67,-9.90984056628329
1.679,-9.91337851310942
1.688,-9.92515484818336
1.697,-9.94494327988948
1.706,-9.97254912767604
1.715,-10.007806674801
1.724,-10.0505768800911
1.733,-10.1007454014526
1.742,-10.1582208916835
1.751,-10.222933533549
1.76,-10.294833786377
1.769,-10.3738913207999
1.778,-10.4600941218922
1.787,-10.5534477439428
1.796,-10.6539747025541
1.805,-10.7617139917433
1.814,-10.876720715285
1.823,-10.9990658226923
1.832,-11.128835941001
1.841,-11.2661332938719
1.85,-11.4110756994218
1.859,-11.563796637557
1.868,-11.7244453763153
1.877,-11.8931871446612
1.886,-12.0702033361159
1.895,-12.2556917232542
1.904,-12.4498666570636
1.913,-12.6529592169183
1.922,-12.8652172657535
1.931,-13.0869053499897
1.94,-13.3183043635576
1.949,-13.559710868304
1.958,-13.8114359267939
1.967,-14.0738032549874
1.976,-14.3471464373272
1.985,-14.63180485995
1.994,-14.9281179018422
2.003,-15.236416769445
2.012,-15.5570131555955
2.021,-15.8901836341814
2.03,-16.2361483505089
2.039,-16.5950421164276
2.048,-16.9668754544696
2.057,-17.3514824550208
2.066,-17.7484515442551
2.075,-18.1570345028368
2.084,-18.5760285459209
2.093,-19.0036264156025
2.102,-19.4372310525011
2.111,-19.8732358372356
2.12,-20.3067805866825
2.129,-20.7315098256699
2.138,-21.1393850692684
2.147,-21.5206354466104
2.156,-21.863961734402
2.165,-22.1571161106613
2.174,-22.3879312052603
