"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0382711304378051
0.509,-0.0396497347940988
0.518,-0.0410969520061162
0.527,-0.0426172312407804
0.536,-0.0442153596625574
0.545,-0.0458964878855505
0.554,-0.0476661574134459
0.563,-0.0495303302283623
0.572,-0.0514954207023786
0.581,-0.0535683300195123
0.59,-0.0557564833106213
0.599,-0.0580678697196612
0.608,-0.0605110856365102
0.617,-0.0630953813497484
0.626,-0.0658307113917172
0.635,-0.0687277888685963
0.644,-0.0717981440894419
0.653,-0.075054187830686
0.662,-0.0785092795959592
0.671,-0.0821778012555305
0.68,-0.0860752364748431
0.689,-0.0902182563674026
0.698,-0.0946248118334557
0.707,-0.0993142330720612
0.716,-0.104307336780095
0.725,-0.109626541576531
0.734,-0.115295992213876
0.743,-0.121341693159613
0.752,-0.127791652148285
0.761,-0.134676034317945
0.77,-0.142027327552014
0.779,-0.149880519646969
0.788,-0.158273287916036
0.797,-0.167246201816495
0.806,-0.176842939150554
0.815,-0.187110516333605
0.824,-0.198099533145247
0.833,-0.209864432273004
0.842,-0.222463773821357
0.851,-0.235960524783513
0.86,-0.250422363253815
0.869,-0.265921996887455
0.878,-0.282537494783551
0.887,-0.300352631568657
0.896,-0.319457241981701
0.905,-0.339947583698522
0.914,-0.361926705475131
0.923,-0.385504816924701
0.932,-0.410799655365551
0.941,-0.437936844179686
0.95,-0.467050235999691
0.959,-0.498282232795299
0.968,-0.531784073564571
0.977,-0.567716078858995
0.986,-0.606247839806525
0.995,-0.64755833767117
1.004,-0.691835978343797
1.013,-0.739278524552972
1.022,-0.790092907088625
1.031,-0.844494895035144
1.04,-0.902708604021233
1.049,-0.96496582093689
1.058,-1.03150512358226
1.067,-1.10257077445069
1.076,-1.17841136946309
1.085,-1.25927822511387
1.094,-1.34542349129266
1.103,-1.4370979821131
1.112,-1.5345487234635
1.121,-1.63801622368272
1.13,-1.74773148266502
1.139,-1.86391276462083
1.148,-1.98676217037444
1.157,-2.11646205606848
1.166,-2.25317135597816
1.175,-2.39702187725379
1.184,-2.54811464320602
1.193,-2.70651636862864
1.202,-2.87225615507736
1.211,-3.04532249556023
1.22,-3.22566067647178
1.229,-3.41317065974228
1.238,-3.60770552021231
1.247,-3.8090705025279
1.256,-4.01702274891335
1.265,-4.23127173467542
1.274,-4.45148043294379
1.283,-4.67726721465889
1.292,-4.90820847478358
1.301,-5.14384196158516
1.31,-5.38367077285121
1.319,-5.62716797109845
1.328,-5.87378175904909
1.337,-6.12294114658715
1.346,-6.37406203071538
1.355,-6.6265536003927
1.364,-6.87982496835708
1.373,-7.13329192215827
1.382,-7.38638367693857
1.391,-7.63854950359925
1.4,-7.88926509872429
1.409,-8.13803855803912
1.418,-8.38441581435676
1.427,-8.62798540492239
1.436,-8.86838244257173
1.445,-9.10529168053733
1.454,-9.33844958192781
1.463,-9.56764533116506
1.472,-9.79272075475172
1.481,-10.013569150969
1.49,-10.2301330605012
1.499,-10.4424010405012
1.508,-10.6504035313402
1.517,-10.8542079266567
1.526,-11.0539129722626
1.535,-11.249642627505
1.544,-11.4415395239337
1.553,-11.629758151301
1.562,-11.8144578911506
1.571,-11.9957960050359
1.58,-12.1739206693917
1.589,-12.3489641339825
1.598,-12.5210360672889
1.607,-12.6902171416479
1.616,-12.8565529046834
1.625,-13.0200479825376
1.634,-13.1806606653457
1.643,-13.3382979366802
1.652,-13.4928110263334
1.661,-13.6439915894134
1.67,-13.7915686433324
1.679,-13.9352064262528
1.688,-14.0745033734621
1.697,-14.2089924385351
1.706,-14.338143009506
1.715,-14.4613646810457
1.724,-14.578013135425
1.733,-14.6873983511113
1.742,-14.7887952919969
1.751,-14.8814571280195
1.76,-14.9646308981405
1.769,-15.0375753529585
1.778,-15.0995805165706
